"","case_number","to_pay","paid","balance"
"6480","19-007306-co"," 195.00"," 195.00","0"
"6481","19-007294-co"," 195.00"," 195.00","0"
"6482","19-007255-co"," 205.00"," 205.00","0"
"6483","19-009115-co"," 195.00"," 195.00","0"
"6484","19-009116-co"," 195.00"," 195.00","0"
"6485","19-009118-co"," 185.00"," 185.00","0"
"6486","19-009119-co"," 195.00"," 195.00","0"
"6487","19-009125-co"," 0.90"," 0.90","0"
"6488","19-009126-co"," 200.00"," 200.00","0"
"6489","19-009127-co"," 195.00"," 195.00","0"
"6490","19-009128-co"," 195.00"," 195.00","0"
"6491","19-009129-co"," 205.00"," 205.00","0"
"6492","19-009130-co"," 195.00"," 195.00","0"
"6493","19-009132-co"," 195.00"," 195.00","0"
"6494","19-009133-co"," 195.00"," 195.00","0"
"6495","19-009135-co"," 195.00"," 195.00","0"
"6496","19-009138-co"," 0.30"," 0.30","0"
"6497","19-009139-co"," 195.00"," 195.00","0"
"6498","19-009140-co"," 195.00"," 195.00","0"
"6499","19-009142-co",NA,NA,NA
"6500","19-009143-co"," 195.00"," 195.00","0"
"6501","19-009144-co"," 195.00"," 195.00","0"
"6502","19-009145-co"," 2.40"," 2.40","0"
"6503","19-009146-co"," 205.00"," 205.00","0"
"6504","19-009147-co"," 195.00"," 195.00","0"
"6505","19-009150-co"," 195.00"," 195.00","0"
"6506","19-009151-co"," 205.00"," 205.00","0"
"6507","19-009153-co"," 205.00"," 205.00","0"
"6508","19-009155-co"," 195.00"," 195.00","0"
"6509","19-009156-co"," 205.00"," 205.00","0"
"6510","19-009158-co"," 205.00"," 205.00","0"
"6511","19-009159-co"," 195.00"," 195.00","0"
"6512","19-009160-co"," 1.29"," 1.29","0"
"6513","19-009073-co"," 195.00"," 195.00","0"
"6514","19-009075-co"," 195.00"," 195.00","0"
"6515","19-009080-co"," 314.10"," 314.10","0"
"6516","19-009081-co"," 205.00"," 205.00","0"
"6517","19-009082-co"," 197.19"," 197.19","0"
"6518","19-009083-co"," 206.65"," 206.65","0"
"6519","19-009084-co"," 205.00"," 205.00","0"
"6520","19-009085-co"," 195.00"," 195.00","0"
"6521","19-009086-co"," 0.60"," 0.60","0"
"6522","19-009087-co"," 195.00"," 195.00","0"
"6523","19-009088-co"," 195.00"," 195.00","0"
"6524","19-009091-co"," 195.00"," 195.00","0"
"6525","19-009092-co"," 199.79"," 199.79","0"
"6526","19-009093-co"," 0.45"," 0.45","0"
"6527","19-009094-co"," 195.00"," 195.00","0"
"6528","19-009095-co"," 195.00"," 195.00","0"
"6529","19-009096-co"," 195.00"," 195.00","0"
"6530","19-009097-co"," 211.00"," 211.00","0"
"6531","19-009099-co"," 195.00"," 195.00","0"
"6532","19-009101-co"," 195.00"," 195.00","0"
"6533","19-009102-co"," 195.00"," 195.00","0"
"6534","19-009103-co"," 215.00"," 215.00","0"
"6535","19-009107-co"," 205.00"," 205.00","0"
"6536","19-009108-co"," 0.75"," 0.75","0"
"6537","19-009076-co"," 350.00"," 350.00","0"
"6538","19-009013-co"," 195.00"," 195.00","0"
"6539","19-009014-co"," 195.00"," 195.00","0"
"6540","19-009015-co"," 215.00"," 215.00","0"
"6541","19-009016-co"," 205.00"," 205.00","0"
"6542","19-009017-co"," 205.00"," 205.00","0"
"6543","19-009018-co"," 2.25"," 2.25","0"
"6544","19-009019-co"," 195.00"," 195.00","0"
"6545","19-009020-co"," 205.00"," 205.00","0"
"6546","19-009021-co"," 295.00"," 295.00","0"
"6547","19-009026-co"," 205.00"," 205.00","0"
"6548","19-009027-co"," 195.00"," 195.00","0"
"6549","19-009030-co"," 205.00"," 205.00","0"
"6550","19-009037-co"," 206.14"," 206.14","0"
"6551","na",NA,NA,NA
"6552","19-009039-co"," 0.84"," 0.84","0"
"6553","19-009041-co"," 195.00"," 195.00","0"
"6554","19-009042-co"," 205.00"," 205.00","0"
"6555","19-009043-co"," 195.00"," 195.00","0"
"6556","19-009044-co"," 195.00"," 195.00","0"
"6557","19-009045-co"," 195.00"," 195.00","0"
"6558","19-009046-co"," 195.00"," 195.00","0"
"6559","19-009047-co"," 0.90"," 0.90","0"
"6560","19-009048-co"," 195.00"," 195.00","0"
"6561","19-009050-co"," 195.00"," 195.00","0"
"6562","19-009054-co"," 195.00"," 195.00","0"
"6563","19-009055-co"," 195.00"," 195.00","0"
"6564","19-009060-co"," 205.00"," 205.00","0"
"6565","19-009065-co"," 195.00"," 195.00","0"
"6566","19-009068-co"," 205.00"," 205.00","0"
"6567","19-009069-co"," 205.00"," 205.00","0"
"6568","19-009070-co"," 195.00"," 195.00","0"
"6569","19-009072-co"," 215.00"," 215.00","0"
"6570","19-008978-co"," 198.50"," 198.50","0"
"6571","19-008984-co"," 195.00"," 195.00","0"
"6572","19-008987-co"," 0.45"," 0.45","0"
"6573","19-008990-co"," 225.00"," 225.00","0"
"6574","19-008993-co"," 195.00"," 195.00","0"
"6575","19-008994-co"," 195.00"," 195.00","0"
"6576","19-008995-co"," 195.00"," 195.00","0"
"6577","19-008996-co"," 205.00"," 205.00","0"
"6578","19-008997-co"," 6.69"," 6.69","0"
"6579","19-008998-co"," 205.00"," 205.00","0"
"6580","19-008999-co"," 211.95"," 211.95","0"
"6581","19-009000-co"," 195.00"," 195.00","0"
"6582","19-009001-co"," 195.69"," 195.69","0"
"6583","19-009003-co"," 0.60"," 0.60","0"
"6584","19-009004-co"," 215.00"," 215.00","0"
"6585","19-009005-co"," 205.00"," 205.00","0"
"6586","19-009007-co"," 195.00"," 195.00","0"
"6587","19-009008-co"," 195.00"," 195.00","0"
"6588","19-009009-co"," 215.00"," 215.00","0"
"6589","19-009010-co"," 205.00"," 205.00","0"
"6590","19-009012-co"," 195.00"," 195.00","0"
"6591","19-008976-co"," 205.00"," 205.00","0"
"6592","19-008977-co"," 205.00"," 205.00","0"
"6593","19-008953-co"," 210.30"," 210.30","0"
"6594","19-008954-co"," 0.90"," 0.90","0"
"6595","19-008955-co"," 195.00"," 195.00","0"
"6596","19-008956-co"," 195.00"," 195.00","0"
"6597","19-008957-co"," 195.00"," 195.00","0"
"6598","19-008958-co"," 196.50"," 196.50","0"
"6599","19-008959-co"," 204.17"," 204.17","0"
"6600","19-008960-co"," 195.00"," 195.00","0"
"6601","19-008961-co"," 195.00"," 195.00","0"
"6602","19-008962-co"," 205.00"," 205.00","0"
"6603","19-008963-co"," 195.00"," 195.00","0"
"6604","19-008964-co"," 195.00"," 195.00","0"
"6605","19-008965-co"," 195.00"," 195.00","0"
"6606","19-008966-co"," 195.00"," 195.00","0"
"6607","19-008967-co"," 0.60"," 0.60","0"
"6608","19-008968-co"," 195.00"," 195.00","0"
"6609","19-008969-co"," 195.00"," 195.00","0"
"6610","19-008970-co"," 195.00"," 195.00","0"
"6611","19-008971-co"," 0.45"," 0.45","0"
"6612","19-007104-ci"," 430.00"," 430.00","0"
"6613","19-008972-co"," 195.00"," 195.00","0"
"6614","19-008973-co"," 195.00"," 195.00","0"
"6615","19-008974-co"," 205.00"," 205.00","0"
"6616","19-008975-co"," 0.90"," 0.90","0"
"6617","19-008891-co"," 205.00"," 205.00","0"
"6618","19-008892-co"," 195.00"," 195.00","0"
"6619","19-008893-co"," 195.00"," 195.00","0"
"6620","19-008895-co"," 205.00"," 205.00","0"
"6621","19-008896-co"," 195.00"," 195.00","0"
"6622","19-008897-co"," 195.00"," 195.00","0"
"6623","19-008898-co"," 227.50"," 227.50","0"
"6624","19-008902-co"," 199.70"," 199.70","0"
"6625","19-008904-co"," 200.69"," 200.69","0"
"6626","19-008907-co"," 195.00"," 195.00","0"
"6627","19-008908-co"," 0.00"," 0.00","0"
"6628","19-008910-co"," 205.00"," 205.00","0"
"6629","19-008912-co"," 0.15"," 0.15","0"
"6630","19-008914-co"," 205.00"," 205.00","0"
"6631","19-008915-co"," 195.00"," 195.00","0"
"6632","19-008916-co"," 205.00"," 205.00","0"
"6633","19-008917-co"," 195.00"," 195.00","0"
"6634","19-008918-co"," 0.30"," 0.30","0"
"6635","19-008920-co"," 195.00"," 195.00","0"
"6636","19-008921-co"," 195.00"," 195.00","0"
"6637","19-008922-co"," 205.00"," 205.00","0"
"6638","19-008923-co"," 0.15"," 0.15","0"
"6639","19-008924-co"," 195.00"," 195.00","0"
"6640","19-008927-co"," 195.00"," 195.00","0"
"6641","19-008929-co"," 212.13"," 212.13","0"
"6642","19-008930-co"," 215.00"," 215.00","0"
"6643","19-008934-co"," 205.00"," 205.00","0"
"6644","19-008938-co"," 1.98"," 1.98","0"
"6645","19-008939-co"," 195.00"," 195.00","0"
"6646","19-008843-co"," 195.00"," 195.00","0"
"6647","19-008846-co"," 195.00"," 195.00","0"
"6648","19-008847-co"," 195.00"," 195.00","0"
"6649","19-008848-co"," 195.00"," 195.00","0"
"6650","19-008849-co"," 195.00"," 195.00","0"
"6651","19-008850-co"," 195.00"," 195.00","0"
"6652","19-008851-co"," 195.00"," 195.00","0"
"6653","19-008852-co"," 195.00"," 195.00","0"
"6654","19-008853-co"," 205.00"," 205.00","0"
"6655","19-008854-co"," 195.00"," 195.00","0"
"6656","19-008855-co"," 195.00"," 195.00","0"
"6657","19-008856-co"," 215.00"," 215.00","0"
"6658","19-008858-co"," 195.00"," 195.00","0"
"6659","19-008859-co"," 195.00"," 195.00","0"
"6660","19-008860-co"," 195.00"," 195.00","0"
"6661","19-008862-co"," 195.00"," 195.00","0"
"6662","19-008863-co"," 195.00"," 195.00","0"
"6663","19-008864-co"," 0.60"," 0.60","0"
"6664","19-008865-co"," 205.00"," 205.00","0"
"6665","19-008866-co"," 195.00"," 195.00","0"
"6666","19-008867-co"," 195.00"," 195.00","0"
"6667","19-008869-co"," 205.00"," 205.00","0"
"6668","19-008872-co"," 205.00"," 205.00","0"
"6669","19-008873-co"," 208.50"," 208.50","0"
"6670","19-008877-co"," 195.00"," 195.00","0"
"6671","19-008878-co"," 195.00"," 195.00","0"
"6672","19-008879-co"," 205.00"," 205.00","0"
"6673","19-008880-co"," 195.00"," 195.00","0"
"6674","19-008882-co"," 195.00"," 195.00","0"
"6675","19-008883-co"," 195.00"," 195.00","0"
"6676","19-008884-co"," 205.00"," 205.00","0"
"6677","19-008885-co"," 205.00"," 205.00","0"
"6678","19-008886-co"," 195.00"," 195.00","0"
"6679","19-008840-co"," 205.00"," 205.00","0"
"6680","19-008841-co"," 205.00"," 205.00","0"
"6681","19-008881-co"," 195.00"," 195.00","0"
"6682","19-008802-co"," 205.00"," 205.00","0"
"6683","19-008803-co"," 195.00"," 195.00","0"
"6684","19-008804-co"," 195.00"," 195.00","0"
"6685","19-008805-co"," 195.00"," 195.00","0"
"6686","19-008806-co"," 0.30"," 0.30","0"
"6687","19-008807-co"," 195.00"," 195.00","0"
"6688","19-008808-co"," 205.00"," 205.00","0"
"6689","19-008809-co"," 195.00"," 195.00","0"
"6690","19-008810-co"," 195.00"," 195.00","0"
"6691","19-008811-co"," 0.30"," 0.30","0"
"6692","19-008814-co"," 195.00"," 195.00","0"
"6693","19-008815-co"," 205.00"," 205.00","0"
"6694","19-008816-co"," 0.30"," 0.30","0"
"6695","19-008817-co"," 205.00"," 205.00","0"
"6696","19-008818-co"," 195.00"," 195.00","0"
"6697","19-008820-co"," 198.95"," 198.95","0"
"6698","19-008822-co"," 195.00"," 195.00","0"
"6699","19-008823-co"," 208.96"," 208.96","0"
"6700","19-008825-co"," 205.00"," 205.00","0"
"6701","19-008832-co"," 195.00"," 195.00","0"
"6702","19-008833-co"," 205.00"," 205.00","0"
"6703","19-008834-co"," 195.00"," 195.00","0"
"6704","19-008835-co"," 195.00"," 195.00","0"
"6705","19-008836-co"," 195.00"," 195.00","0"
"6706","19-008837-co"," 195.00"," 195.00","0"
"6707","19-008838-co"," 195.00"," 195.00","0"
"6708","19-008839-co"," 205.00"," 205.00","0"
"6709","19-008759-co"," 205.00"," 205.00","0"
"6710","19-008760-co"," 5.00"," 5.00","0"
"6711","19-008762-co"," 0.30"," 0.30","0"
"6712","19-008764-co"," 195.00"," 195.00","0"
"6713","19-008766-co"," 195.00"," 195.00","0"
"6714","19-008768-co"," 196.38"," 196.38","0"
"6715","19-008771-co"," 0.60"," 0.60","0"
"6716","19-008772-co"," 195.00"," 195.00","0"
"6717","19-008773-co"," 195.00"," 195.00","0"
"6718","19-008774-co"," 195.75"," 195.75","0"
"6719","19-008775-co"," 205.00"," 205.00","0"
"6720","19-008776-co"," 214.41"," 214.41","0"
"6721","19-008778-co"," 195.00"," 195.00","0"
"6722","19-008779-co"," 210.07"," 210.07","0"
"6723","19-008780-co"," 195.00"," 195.00","0"
"6724","19-008781-co"," 240.05"," 240.05","0"
"6725","19-008782-co"," 195.00"," 195.00","0"
"6726","19-008783-co"," 195.00"," 195.00","0"
"6727","19-008784-co"," 195.00"," 195.00","0"
"6728","19-008785-co"," 195.00"," 195.00","0"
"6729","19-008786-co"," 8.65"," 8.65","0"
"6730","19-008787-co"," 205.00"," 205.00","0"
"6731","19-008790-co"," 195.00"," 195.00","0"
"6732","19-008791-co"," 205.00"," 205.00","0"
"6733","19-008792-co"," 205.00"," 205.00","0"
"6734","19-008698-co"," 205.00"," 205.00","0"
