"","case_number","to_pay","paid","balance"
"437","19-008461-co"," 195.00"," 195.00","0.00"
"438","19-008384-co"," 203.38"," 203.38","0.00"
"439","19-008386-co"," 195.00"," 195.00","0.00"
"440","19-008389-co"," 195.00"," 195.00","0.00"
"441","19-008390-co"," 205.00"," 205.00","0.00"
"442","19-008391-co"," 205.60"," 205.60","0.00"
"443","19-008394-co"," 203.48"," 203.48","0.00"
"444","19-008395-co"," 310.00"," 310.00","0.00"
"445","19-008397-co"," 195.00"," 195.00","0.00"
"446","19-008398-co"," 195.00"," 195.00","0.00"
"447","19-008399-co"," 195.00"," 195.00","0.00"
"448","19-008400-co"," 195.00"," 195.00","0.00"
"449","19-008401-co"," 195.00"," 195.00","0.00"
"450","19-008402-co"," 195.00"," 195.00","0.00"
"451","19-008403-co"," 195.00"," 195.00","0.00"
"452","19-008404-co"," 195.00"," 195.00","0.00"
"453","19-008406-co"," 205.00"," 205.00","0.00"
"454","19-008407-co"," 205.00"," 205.00","0.00"
"455","19-008410-co"," 195.00"," 195.00","0.00"
"456","19-008411-co"," 205.00"," 205.00","0.00"
"457","19-008412-co"," 195.00"," 195.00","0.00"
"458","19-008413-co"," 215.00"," 215.00","0.00"
"459","19-008414-co"," 209.70"," 209.70","0.00"
"460","19-008415-co"," 202.82"," 202.82","0.00"
"461","19-006684-ci"," 482.50"," 482.50","0.00"
"462","19-008416-co"," 1.50"," 1.50","0.00"
"463","19-008417-co"," 195.00"," 195.00","0.00"
"464","19-008419-co"," 205.00"," 205.00","0.00"
"465","19-008422-co"," 205.00"," 205.00","0.00"
"466","19-008423-co"," 195.00"," 195.00","0.00"
"467","19-008424-co"," 195.00"," 195.00","0.00"
"468","19-008425-co"," 205.00"," 205.00","0.00"
"469","19-008539-co"," 195.00"," 195.00","0.00"
"470","19-008337-co"," 195.00"," 195.00","0.00"
"471","19-008342-co"," 0.45"," 0.45","0.00"
"472","19-008344-co"," 205.00"," 205.00","0.00"
"473","19-008345-co"," 195.00"," 195.00","0.00"
"474","19-008349-co"," 209.88"," 209.88","0.00"
"475","19-008363-co"," 205.00"," 205.00","0.00"
"476","19-008364-co"," 197.04"," 197.04","0.00"
"477","19-008365-co"," 205.00"," 205.00","0.00"
"478","19-008366-co"," 195.00"," 195.00","0.00"
"479","19-008367-co"," 0.45"," 0.45","0.00"
"480","19-008369-co"," 205.00"," 205.00","0.00"
"481","19-008370-co"," 310.00"," 310.00","0.00"
"482","19-008371-co"," 0.75"," 0.75","0.00"
"483","19-008372-co"," 1.35"," 1.35","0.00"
"484","19-008373-co"," 215.00"," 215.00","0.00"
"485","19-008374-co"," 195.00"," 195.00","0.00"
"486","19-008377-co"," 209.65"," 209.65","0.00"
"487","19-008378-co"," 311.38"," 311.38","0.00"
"488","19-008379-co"," 195.69"," 195.69","0.00"
"489","19-006664-ci"," 410.00"," 410.00","0.00"
"490","19-008306-co"," 195.00"," 195.00","0.00"
"491","19-008307-co"," 195.00"," 195.00","0.00"
"492","19-008308-co"," 205.00"," 205.00","0.00"
"493","19-008310-co"," 195.00"," 195.00","0.00"
"494","19-008311-co"," 205.00"," 205.00","0.00"
"495","19-008312-co"," 195.00"," 195.00","0.00"
"496","19-008313-co"," 208.50"," 208.50","0.00"
"497","19-008314-co"," 205.00"," 205.00","0.00"
"498","19-008315-co"," 195.00"," 195.00","0.00"
"499","19-008316-co"," 205.00"," 205.00","0.00"
"500","19-008317-co"," 195.00"," 195.00","0.00"
"501","19-008319-co"," 195.00"," 195.00","0.00"
"502","19-006622-ci"," 515.00"," 515.00","0.00"
"503","19-008325-co"," 208.80"," 208.80","0.00"
"504","19-008327-co"," 205.00"," 205.00","0.00"
"505","19-008332-co"," 205.00"," 205.00","0.00"
"506","19-008333-co"," 205.00"," 205.00","0.00"
"507","19-008303-co"," 195.00"," 195.00","0.00"
"508","19-008304-co"," 195.00"," 195.00","0.00"
"509","19-008305-co"," 195.00"," 195.00","0.00"
"510","19-006618-ci"," 460.00"," 460.00","0.00"
"511","19-008281-co"," 320.00"," 320.00","0.00"
"512","19-008282-co"," 0.30"," 0.30","0.00"
"513","19-008284-co"," 205.00"," 205.00","0.00"
"514","19-008285-co"," 195.00"," 195.00","0.00"
"515","19-008290-co"," 205.00"," 205.00","0.00"
"516","19-008291-co"," 0.15"," 0.15","0.00"
"517","19-008292-co"," 205.00"," 205.00","0.00"
"518","19-008293-co"," 195.00"," 195.00","0.00"
"519","19-008294-co"," 195.00"," 195.00","0.00"
"520","19-008296-co"," 205.00"," 205.00","0.00"
"521","19-008298-co"," 195.00"," 195.00","0.00"
"522","19-008299-co"," 195.00"," 195.00","0.00"
"523","19-008300-co"," 195.00"," 195.00","0.00"
"524","19-008301-co"," 199.79"," 199.79","0.00"
"525","19-008302-co"," 215.00"," 215.00","0.00"
"526","19-008253-co"," 195.00"," 195.00","0.00"
"527","19-008254-co"," 195.00"," 195.00","0.00"
"528","19-008255-co"," 195.00"," 195.00","0.00"
"529","19-008256-co"," 195.00"," 195.00","0.00"
"530","19-008257-co"," 195.00"," 195.00","0.00"
"531","19-008259-co"," 205.00"," 205.00","0.00"
"532","19-008260-co"," 205.00"," 205.00","0.00"
"533","19-008261-co"," 205.00"," 205.00","0.00"
"534","19-008262-co"," 205.00"," 205.00","0.00"
"535","19-008263-co"," 205.30"," 205.30","0.00"
"536","19-008264-co"," 0.60"," 0.60","0.00"
"537","19-008267-co"," 195.00"," 195.00","0.00"
"538","19-008269-co"," 195.00"," 195.00","0.00"
"539","19-008272-co"," 195.00"," 195.00","0.00"
"540","19-008273-co"," 0.30"," 0.30","0.00"
"541","19-008274-co"," 205.00"," 205.00","0.00"
"542","19-008275-co"," 195.00"," 195.00","0.00"
"543","19-008277-co"," 205.00"," 205.00","0.00"
"544","19-008278-co"," 195.00"," 195.00","0.00"
"545","19-006552-ci"," 420.00"," 420.00","0.00"
"546","19-006553-ci"," 460.00"," 460.00","0.00"
"547","19-008197-co"," 195.00"," 195.00","0.00"
"548","19-008202-co"," 195.00"," 195.00","0.00"
"549","19-008205-co"," 208.00"," 208.00","0.00"
"550","19-008209-co"," 1.00"," 1.00","0.00"
"551","19-008218-co"," 0.45"," 0.45","0.00"
"552","19-008226-co"," 4.80"," 4.80","0.00"
"553","19-008228-co"," 215.00"," 215.00","0.00"
"554","19-008230-co"," 195.00"," 195.00","0.00"
"555","19-008231-co"," 1.50"," 1.50","0.00"
"556","19-008232-co"," 205.00"," 205.00","0.00"
"557","19-008233-co"," 195.00"," 195.00","0.00"
"558","19-008234-co"," 195.00"," 195.00","0.00"
"559","19-008235-co"," 195.00"," 195.00","0.00"
"560","19-008243-co"," 215.00"," 215.00","0.00"
"561","19-008246-co"," 195.00"," 195.00","0.00"
"562","19-008247-co"," 195.00"," 195.00","0.00"
"563","19-008249-co"," 195.00"," 195.00","0.00"
"564","19-008250-co"," 195.00"," 195.00","0.00"
"565","19-008251-co"," 10.00"," 10.00","0.00"
