"","case_number","to_pay","paid","balance"
"1","20-000836-co"," 195.00"," 195.00","0.00"
"2","20-000837-co"," 205.00"," 205.00","0.00"
"3","20-000838-co"," 195.00"," 195.00","0.00"
"4","20-000841-co"," 0.30"," 0.30","0.00"
"5","20-000842-co"," 300.00"," 300.00","0.00"
"6","20-000843-co"," 205.09"," 205.09","0.00"
"7","20-000844-co"," 195.00"," 195.00","0.00"
"8","20-000845-co"," 205.00"," 205.00","0.00"
"9","20-000847-co"," 195.00"," 195.00","0.00"
"10","20-000849-co"," 195.00"," 195.00","0.00"
"11","20-000850-co"," 3.50"," 3.50","0.00"
"12","20-000855-co"," 205.00"," 205.00","0.00"
"13","20-000856-co"," 195.00"," 195.00","0.00"
"14","20-000857-co"," 195.00"," 195.00","0.00"
"15","20-000858-co"," 2.13"," 2.13","0.00"
"16","20-000859-co"," 205.00"," 205.00","0.00"
"17","20-000860-co"," 195.00"," 195.00","0.00"
"18","20-000861-co"," 0.30"," 0.30","0.00"
"19","20-000862-co"," 195.00"," 195.00","0.00"
"20","20-000863-co"," 195.00"," 195.00","0.00"
"21","20-000864-co"," 1.80"," 0.30","1.50"
"22","20-000865-co"," 317.07"," 317.07","0.00"
"23","20-000866-co"," 195.00"," 195.00","0.00"
"24","20-000867-co"," 195.00"," 195.00","0.00"
"25","20-000868-co"," 320.00"," 320.00","0.00"
"26","20-000869-co"," 205.00"," 205.00","0.00"
"27","20-000870-co"," 199.29"," 199.29","0.00"
"28","20-000871-co"," 195.00"," 195.00","0.00"
"29","20-000872-co"," 195.00"," 195.00","0.00"
"30","20-000941-co"," 215.00"," 215.00","0.00"
"31","20-000805-co"," 205.00"," 205.00","0.00"
"32","20-000810-co"," 0.00"," 0.00","0.00"
"33","20-000811-co"," 195.00"," 195.00","0.00"
"34","20-000813-co"," 195.00"," 195.00","0.00"
"35","20-000814-co"," 195.00"," 195.00","0.00"
"36","20-000815-co"," 200.57"," 200.57","0.00"
"37","20-000816-co"," 195.00"," 195.00","0.00"
"38","20-000817-co"," 206.50"," 206.50","0.00"
"39","20-000818-co"," 195.00"," 195.00","0.00"
"40","20-000819-co"," 205.00"," 205.00","0.00"
"41","20-000820-co"," 210.90"," 210.90","0.00"
"42","20-000822-co"," 195.00"," 195.00","0.00"
"43","20-000823-co"," 215.00"," 215.00","0.00"
"44","20-000824-co"," 205.00"," 205.00","0.00"
"45","20-000825-co"," 203.87"," 203.87","0.00"
"46","20-000826-co"," 195.00"," 195.00","0.00"
"47","20-000828-co"," 195.00"," 195.00","0.00"
"48","20-000829-co"," 195.00"," 195.00","0.00"
"49","20-000830-co"," 195.00"," 195.00","0.00"
"50","20-000831-co"," 195.00"," 195.00","0.00"
"51","20-000833-co"," 0.15"," 0.15","0.00"
"52","20-000834-co"," 215.00"," 215.00","0.00"
"53","20-000835-co"," 215.00"," 215.00","0.00"
"54","20-000779-co"," 195.00"," 195.00","0.00"
"55","20-000784-co"," 9.68"," 9.68","0.00"
"56","20-000789-co"," 195.00"," 195.00","0.00"
"57","20-000790-co"," 195.00"," 195.00","0.00"
"58","20-000791-co"," 215.00"," 215.00","0.00"
"59","20-000792-co"," 195.00"," 195.00","0.00"
"60","20-000793-co"," 205.00"," 205.00","0.00"
"61","20-000794-co"," 198.50"," 198.50","0.00"
"62","20-000795-co"," 195.69"," 195.69","0.00"
"63","20-000797-co"," 195.69"," 195.69","0.00"
"64","20-000800-co"," 311.00"," 311.00","0.00"
"65","20-000802-co"," 0.30"," 0.30","0.00"
"66","20-000479-ci"," 440.00"," 440.00","0.00"
"67","20-000803-co"," 4.50"," 4.50","0.00"
"68","20-000804-co"," 195.00"," 195.00","0.00"
"69","20-000732-co"," 0.99"," 0.99","0.00"
"70","20-000733-co"," 205.00"," 205.00","0.00"
"71","20-000734-co"," 195.00"," 195.00","0.00"
"72","20-000735-co"," 195.00"," 195.00","0.00"
"73","20-000736-co"," 205.00"," 205.00","0.00"
"74","20-000737-co"," 205.00"," 205.00","0.00"
"75","20-000738-co"," 205.00"," 205.00","0.00"
"76","20-000740-co"," 205.00"," 205.00","0.00"
"77","20-000743-co"," 320.00"," 320.00","0.00"
"78","20-000744-co"," 225.00"," 225.00","0.00"
"79","20-000746-co"," 195.00"," 195.00","0.00"
"80","20-000747-co"," 205.00"," 205.00","0.00"
"81","20-000748-co"," 205.00"," 205.00","0.00"
"82","20-000752-co"," 195.00"," 195.00","0.00"
"83","20-000753-co"," 195.00"," 195.00","0.00"
"84","20-000754-co"," 195.00"," 195.00","0.00"
"85","20-000755-co"," 198.50"," 198.50","0.00"
"86","20-000756-co"," 195.00"," 195.00","0.00"
"87","20-000757-co"," 195.00"," 195.00","0.00"
"88","20-000758-co"," 195.00"," 195.00","0.00"
"89","20-000759-co"," 195.00"," 195.00","0.00"
"90","20-000760-co"," 195.00"," 195.00","0.00"
"91","20-000761-co"," 215.00"," 215.00","0.00"
"92","20-000762-co"," 195.00"," 195.00","0.00"
"93","20-000763-co"," 205.00"," 205.00","0.00"
"94","20-000764-co"," 215.00"," 215.00","0.00"
"95","20-000765-co"," 195.00"," 195.00","0.00"
"96","20-000766-co"," 205.00"," 205.00","0.00"
"97","20-000767-co"," 195.00"," 195.00","0.00"
"98","20-000771-co"," 195.00"," 195.00","0.00"
"99","20-000772-co"," 195.00"," 195.00","0.00"
"100","20-000775-co"," 195.00"," 195.00","0.00"
"101","20-000700-co"," 13.42"," 13.42","0.00"
"102","20-000703-co"," 0.30"," 0.30","0.00"
"103","20-000704-co"," 195.00"," 195.00","0.00"
"104","20-000705-co"," 195.00"," 195.00","0.00"
"105","20-000706-co"," 195.00"," 195.00","0.00"
