"","case_number","to_pay","paid","balance"
"1","19-008159-co"," 195.00"," 195.00","0.00"
"2","19-008160-co"," 198.50"," 198.50","0.00"
"3","19-008161-co"," 195.00"," 195.00","0.00"
"4","19-008162-co"," 310.00"," 310.00","0.00"
"5","19-008163-co"," 195.00"," 195.00","0.00"
"6","19-008164-co"," 195.00"," 195.00","0.00"
"7","19-008165-co"," 295.00"," 295.00","0.00"
"8","19-008170-co"," 195.00"," 195.00","0.00"
"9","19-008172-co"," 220.57"," 220.57","0.00"
"10","19-008173-co"," 20.00"," 20.00","0.00"
"11","19-008174-co"," 10.00"," 10.00","0.00"
"12","19-008178-co"," 195.00"," 195.00","0.00"
"13","19-008186-co"," 201.02"," 201.02","0.00"
"14","19-008190-co"," 195.00"," 195.00","0.00"
"15","19-008191-co"," 10.00"," 10.00","0.00"
"16","19-008192-co"," 195.00"," 195.00","0.00"
"17","19-008193-co"," 10.00"," 10.00","0.00"
"18","19-008194-co"," 195.00"," 195.00","0.00"
"19","19-006522-ci"," 410.00"," 410.00","0.00"
"20","19-008206-co"," 195.00"," 195.00","0.00"
"21","19-006525-ci"," 410.00"," 410.00","0.00"
"22","19-008210-co"," 310.00"," 310.00","0.00"
"23","19-008213-co"," 195.00"," 195.00","0.00"
"24","19-008215-co"," 205.00"," 205.00","0.00"
"25","19-008153-co"," 195.00"," 195.00","0.00"
"26","19-008154-co"," 195.00"," 195.00","0.00"
"27","19-008152-co"," 195.00"," 195.00","0.00"
"28","19-008156-co"," 195.00"," 195.00","0.00"
"29","19-008111-co"," 195.00"," 195.00","0.00"
"30","19-008112-co"," 198.50"," 198.50","0.00"
"31","19-008119-co"," 317.13"," 317.13","0.00"
"32","19-008122-co"," 219.00"," 219.00","0.00"
"33","19-008123-co"," 195.00"," 195.00","0.00"
"34","19-008124-co"," 195.00"," 195.00","0.00"
"35","19-008125-co"," 205.00"," 205.00","0.00"
"36","19-008126-co"," 195.00"," 195.00","0.00"
"37","19-008127-co"," 195.00"," 195.00","0.00"
"38","19-008128-co"," 313.80"," 313.80","0.00"
"39","19-008129-co"," 195.00"," 195.00","0.00"
"40","19-008130-co"," 195.00"," 195.00","0.00"
"41","19-008131-co"," 195.00"," 195.00","0.00"
"42","19-008132-co"," 195.00"," 195.00","0.00"
"43","19-008133-co"," 195.00"," 195.00","0.00"
"44","19-008134-co"," 195.00"," 195.00","0.00"
"45","19-008135-co"," 195.00"," 195.00","0.00"
"46","19-008136-co"," 195.00"," 195.00","0.00"
"47","19-008137-co"," 195.00"," 195.00","0.00"
"48","19-008141-co"," 195.00"," 195.00","0.00"
"49","19-008142-co"," 195.00"," 195.00","0.00"
"50","19-008143-co"," 10.00"," 10.00","0.00"
"51","19-008144-co"," 195.00"," 195.00","0.00"
"52","19-008145-co"," 195.00"," 195.00","0.00"
"53","19-008146-co"," 205.00"," 205.00","0.00"
"54","19-008147-co"," 195.00"," 195.00","0.00"
"55","19-008148-co"," 205.00"," 205.00","0.00"
"56","19-008149-co"," 195.00"," 195.00","0.00"
"57","19-008150-co"," 195.00"," 195.00","0.00"
"58","19-008151-co"," 195.00"," 195.00","0.00"
