"","case_number","to_pay","paid","balance"
"1","19-004280-co"," 197.25"," 197.25","0.00"
"2","19-004282-co"," 195.00"," 195.00","0.00"
"3","19-004283-co"," 1.65"," 1.65","0.00"
"4","19-004285-co"," 210.13"," 210.13","0.00"
"5","19-004287-co"," 205.00"," 205.00","0.00"
"6","19-004288-co"," 195.00"," 195.00","0.00"
"7","19-004293-co"," 0.00"," 0.00","0.00"
"8","19-004296-co"," 213.00"," 213.00","0.00"
"9","19-004299-co"," 195.00"," 195.00","0.00"
"10","19-004300-co"," 210.45"," 210.45","0.00"
"11","19-004301-co"," 205.00"," 205.00","0.00"
"12","19-004303-co"," 195.00"," 195.00","0.00"
"13","19-004306-co"," 205.00"," 205.00","0.00"
"14","19-004240-co"," 195.00"," 195.00","0.00"
"15","19-004244-co"," 195.00"," 195.00","0.00"
"16","19-004245-co"," 195.00"," 195.00","0.00"
"17","19-004246-co"," 195.00"," 195.00","0.00"
"18","19-004247-co"," 1.29"," 1.29","0.00"
"19","19-004248-co"," 195.00"," 195.00","0.00"
"20","19-004249-co"," 0.15"," 0.15","0.00"
"21","19-004252-co"," 205.00"," 205.00","0.00"
"22","19-004254-co"," 205.00"," 205.00","0.00"
"23","19-004255-co"," 205.00"," 205.00","0.00"
"24","19-004256-co"," 205.00"," 205.00","0.00"
"25","19-004257-co"," 195.00"," 195.00","0.00"
"26","19-004258-co"," 205.00"," 205.00","0.00"
"27","19-004260-co"," 205.00"," 205.00","0.00"
"28","19-004263-co"," 195.00"," 195.00","0.00"
"29","19-004266-co"," 195.00"," 195.00","0.00"
"30","19-004267-co"," 195.00"," 195.00","0.00"
"31","19-004269-co"," 330.00"," 330.00","0.00"
"32","19-004270-co"," 205.00"," 205.00","0.00"
"33","19-004271-co"," 195.00"," 195.00","0.00"
"34","19-004272-co"," 205.00"," 205.00","0.00"
"35","19-004273-co"," 195.00"," 195.00","0.00"
"36","19-004274-co"," 31.67"," 31.67","0.00"
"37","19-004275-co"," 195.00"," 195.00","0.00"
"38","19-004276-co"," 205.00"," 205.00","0.00"
"39","19-004277-co"," 195.00"," 195.00","0.00"
"40","19-004278-co"," 195.00"," 195.00","0.00"
"41","19-004279-co"," 225.00"," 225.00","0.00"
"42","19-004193-co"," 205.00"," 205.00","0.00"
"43","19-004194-co"," 226.01"," 226.01","0.00"
"44","19-004197-co"," 205.00"," 205.00","0.00"
"45","19-004198-co"," 195.00"," 195.00","0.00"
"46","19-004199-co"," 195.00"," 195.00","0.00"
"47","19-004200-co"," 314.88"," 314.88","0.00"
"48","19-004201-co"," 196.00"," 196.00","0.00"
"49","19-004202-co"," 205.00"," 205.00","0.00"
"50","19-004204-co"," 205.00"," 205.00","0.00"
"51","19-004207-co"," 205.00"," 205.00","0.00"
"52","19-004208-co"," 195.00"," 195.00","0.00"
"53","19-004209-co"," 310.00"," 310.00","0.00"
"54","19-004210-co"," 195.00"," 195.00","0.00"
"55","19-004211-co"," 195.00"," 195.00","0.00"
"56","19-004212-co"," 200.70"," 200.70","0.00"
"57","19-004213-co"," 195.00"," 195.00","0.00"
"58","19-004215-co"," 195.00"," 195.00","0.00"
"59","19-004220-co"," 205.00"," 205.00","0.00"
"60","19-004222-co"," 0.45"," 0.45","0.00"
"61","19-004226-co"," 195.00"," 195.00","0.00"
"62","19-004227-co"," 205.00"," 205.00","0.00"
"63","19-003712-ci"," 410.00"," 410.00","0.00"
"64","19-004232-co"," 205.00"," 205.00","0.00"
"65","19-004234-co"," 195.00"," 195.00","0.00"
"66","19-004235-co"," 195.00"," 195.00","0.00"
"67","19-004153-co"," 6.95"," 6.95","0.00"
"68","19-004164-co"," 310.75"," 310.75","0.00"
"69","19-004169-co"," 195.00"," 195.00","0.00"
"70","19-004170-co"," 215.00"," 215.00","0.00"
"71","19-004172-co"," 195.00"," 195.00","0.00"
"72","19-004173-co"," 212.82"," 212.82","0.00"
"73","19-004175-co"," 195.00"," 195.00","0.00"
"74","19-004176-co"," 195.00"," 195.00","0.00"
"75","19-004177-co"," 185.00"," 185.00","0.00"
"76","19-004178-co"," 195.00"," 195.00","0.00"
"77","19-004179-co"," 195.00"," 195.00","0.00"
"78","19-004180-co"," 195.00"," 195.00","0.00"
"79","19-004181-co"," 205.00"," 205.00","0.00"
"80","19-004182-co"," 205.00"," 205.00","0.00"
"81","19-004183-co"," 195.00"," 195.00","0.00"
"82","19-004184-co"," 205.00"," 205.00","0.00"
"83","19-004185-co"," 195.00"," 195.00","0.00"
"84","19-004186-co"," 205.00"," 205.00","0.00"
"85","19-004187-co"," 205.00"," 205.00","0.00"
"86","19-004114-co"," 195.00"," 195.00","0.00"
"87","19-004117-co"," 195.00"," 195.00","0.00"
"88","19-004118-co"," 195.00"," 195.00","0.00"
"89","19-004119-co"," 195.00"," 195.00","0.00"
"90","19-004122-co"," 195.00"," 195.00","0.00"
"91","19-004123-co"," 195.00"," 195.00","0.00"
"92","19-004124-co"," 195.00"," 195.00","0.00"
"93","19-004126-co"," 215.00"," 215.00","0.00"
"94","19-004127-co"," 205.00"," 205.00","0.00"
"95","19-004129-co"," 195.00"," 195.00","0.00"
"96","19-004130-co"," 195.00"," 195.00","0.00"
"97","19-004131-co"," 195.15"," 195.15","0.00"
"98","19-004134-co"," 205.00"," 205.00","0.00"
"99","19-004135-co"," 195.00"," 195.00","0.00"
"100","19-004137-co"," 313.50"," 313.50","0.00"
"101","19-004138-co"," 330.88"," 330.88","0.00"
"102","19-004139-co"," 0.60"," 0.60","0.00"
"103","19-004141-co"," 317.34"," 317.34","0.00"
"104","19-004067-co"," 0.69"," 0.69","0.00"
"105","19-004068-co"," 195.00"," 195.00","0.00"
"106","19-004070-co"," 195.00"," 195.00","0.00"
"107","19-004073-co"," 195.00"," 195.00","0.00"
"108","19-004074-co"," 215.00"," 215.00","0.00"
"109","19-004076-co"," 198.50"," 198.50","0.00"
"110","19-004078-co"," 195.00"," 195.00","0.00"
"111","19-004079-co"," 205.00"," 205.00","0.00"
"112","19-004080-co"," 195.00"," 195.00","0.00"
"113","19-004081-co"," 195.00"," 195.00","0.00"
"114","19-004082-co"," 185.00"," 185.00","0.00"
"115","19-004083-co"," 195.00"," 195.00","0.00"
"116","19-004084-co"," 195.00"," 195.00","0.00"
"117","19-004085-co"," 195.00"," 195.00","0.00"
"118","19-004086-co"," 195.00"," 195.00","0.00"
"119","19-004088-co"," 195.00"," 195.00","0.00"
"120","19-004089-co"," 195.00"," 195.00","0.00"
"121","19-004090-co"," 205.00"," 205.00","0.00"
"122","19-004091-co"," 314.88"," 314.88","0.00"
"123","19-004092-co"," 195.00"," 195.00","0.00"
"124","19-004093-co"," 205.00"," 205.00","0.00"
"125","19-004094-co"," 205.00"," 205.00","0.00"
"126","19-004095-co"," 195.00"," 195.00","0.00"
"127","19-004096-co"," 195.00"," 195.00","0.00"
"128","19-004097-co"," 195.00"," 195.00","0.00"
"129","19-004098-co"," 195.00"," 195.00","0.00"
"130","19-004099-co"," 195.00"," 195.00","0.00"
"131","19-004100-co"," 195.00"," 195.00","0.00"
"132","19-004101-co"," 195.00"," 195.00","0.00"
"133","19-004102-co"," 0.45"," 0.45","0.00"
"134","19-004104-co"," 195.00"," 195.00","0.00"
"135","19-004106-co"," 215.00"," 215.00","0.00"
"136","19-004107-co"," 195.00"," 195.00","0.00"
"137","19-004108-co"," 1.50"," 1.50","0.00"
"138","19-004109-co"," 205.00"," 205.00","0.00"
"139","19-004110-co"," 195.00"," 195.00","0.00"
"140","19-004027-co"," 205.00"," 205.00","0.00"
"141","19-004028-co"," 198.39"," 198.39","0.00"
"142","19-004029-co"," 198.39"," 198.39","0.00"
"143","19-004030-co"," 195.00"," 195.00","0.00"
"144","19-004032-co"," 212.00"," 212.00","0.00"
"145","19-004033-co"," 208.50"," 208.50","0.00"
"146","19-004034-co"," 205.00"," 205.00","0.00"
"147","19-004035-co"," 212.00"," 212.00","0.00"
"148","19-004036-co"," 195.00"," 195.00","0.00"
"149","19-004037-co"," 205.00"," 205.00","0.00"
"150","19-004038-co"," 205.00"," 205.00","0.00"
"151","19-004039-co"," 212.00"," 212.00","0.00"
"152","19-004040-co"," 212.00"," 212.00","0.00"
"153","19-004041-co"," 212.00"," 212.00","0.00"
"154","19-004042-co"," 208.35"," 208.35","0.00"
"155","19-004043-co"," 205.00"," 205.00","0.00"
"156","19-004046-co"," 195.00"," 195.00","0.00"
"157","19-004049-co"," 195.00"," 195.00","0.00"
"158","19-004050-co"," 205.00"," 205.00","0.00"
"159","19-004051-co"," 195.00"," 195.00","0.00"
"160","19-004052-co"," 195.00"," 195.00","0.00"
"161","19-004053-co"," 195.00"," 195.00","0.00"
"162","19-004054-co"," 205.69"," 205.69","0.00"
"163","19-004055-co"," 205.00"," 205.00","0.00"
"164","19-004056-co"," 195.00"," 195.00","0.00"
"165","19-004057-co"," 205.00"," 205.00","0.00"
"166","19-004058-co"," 195.00"," 195.00","0.00"
"167","19-004059-co"," 205.00"," 205.00","0.00"
"168","19-004061-co"," 195.00"," 195.00","0.00"
"169","19-004062-co"," 195.00"," 195.00","0.00"
"170","19-004063-co"," 195.00"," 195.00","0.00"
"171","19-004064-co"," 195.00"," 195.00","0.00"
"172","19-004065-co"," 195.00"," 195.00","0.00"
"173","19-003981-co"," 195.00"," 195.00","0.00"
"174","19-003982-co"," 195.00"," 195.00","0.00"
"175","19-003983-co"," 0.60"," 0.60","0.00"
"176","19-003984-co"," 1.00"," 1.00","0.00"
"177","19-003985-co"," 185.00"," 185.00","0.00"
