"","case_number","to_pay","paid","balance"
"1","20-001609-co"," 215.00"," 215.00","0.00"
"2","20-001612-co"," 212.40"," 212.40","0.00"
"3","20-001613-co"," 334.43"," 334.43","0.00"
"4","20-001614-co"," 195.00"," 195.00","0.00"
"5","20-001616-co"," 195.00"," 195.00","0.00"
"6","20-001617-co"," 205.00"," 205.00","0.00"
"7","20-001623-co"," 195.00"," 195.00","0.00"
"8","20-001624-co"," 195.00"," 195.00","0.00"
"9","20-001627-co"," 314.70"," 314.70","0.00"
"10","20-001633-co"," 195.00"," 195.00","0.00"
"11","20-001634-co"," 195.00"," 195.00","0.00"
"12","20-001635-co"," 205.00"," 205.00","0.00"
"13","20-001636-co"," 195.00"," 195.00","0.00"
"14","20-001637-co"," 195.00"," 195.00","0.00"
"15","20-001638-co"," 195.00"," 195.00","0.00"
"16","20-001639-co"," 195.00"," 195.00","0.00"
"17","20-001603-co"," 205.00"," 205.00","0.00"
"18","20-001605-co"," 205.00"," 205.00","0.00"
"19","20-001572-co"," 205.00"," 205.00","0.00"
"20","20-001573-co"," 195.00"," 195.00","0.00"
"21","20-001574-co"," 205.00"," 205.00","0.00"
"22","20-001575-co"," 205.00"," 205.00","0.00"
"23","20-001576-co"," 195.00"," 195.00","0.00"
"24","20-001577-co"," 195.00"," 195.00","0.00"
"25","20-001578-co"," 195.00"," 195.00","0.00"
"26","20-001579-co"," 195.00"," 195.00","0.00"
"27","20-001580-co"," 195.00"," 195.00","0.00"
"28","20-001583-co"," 195.00"," 195.00","0.00"
"29","20-001587-co"," 195.69"," 195.69","0.00"
"30","20-001594-co"," 205.00"," 205.00","0.00"
"31","20-001596-co"," 195.00"," 195.00","0.00"
"32","20-001597-co"," 195.00"," 195.00","0.00"
"33","20-001599-co"," 195.00"," 195.00","0.00"
"34","20-001550-co"," 205.00"," 205.00","0.00"
"35","20-001551-co"," 213.96"," 213.96","0.00"
"36","20-001553-co"," 195.00"," 195.00","0.00"
"37","20-001556-co"," 195.00"," 195.00","0.00"
"38","20-001557-co"," 195.00"," 195.00","0.00"
"39","20-001558-co"," 195.00"," 195.00","0.00"
"40","20-001560-co"," 215.00"," 215.00","0.00"
"41","20-001561-co"," 195.00"," 195.00","0.00"
"42","20-001562-co"," 1.65"," 1.65","0.00"
"43","20-001563-co"," 195.00"," 195.00","0.00"
"44","20-001564-co"," 205.00"," 205.00","0.00"
"45","20-001566-co"," 195.00"," 195.00","0.00"
"46","20-001567-co"," 195.00"," 195.00","0.00"
"47","20-001569-co"," 0.00"," 0.00","0.00"
"48","20-001505-co"," 0.00"," 0.00","0.00"
"49","20-001506-co"," 195.00"," 195.00","0.00"
"50","20-001507-co"," 195.00"," 195.00","0.00"
"51","20-001509-co"," 314.19"," 314.19","0.00"
"52","20-001514-co"," 205.00"," 205.00","0.00"
"53","20-001515-co"," 205.00"," 205.00","0.00"
"54","20-001517-co"," 195.00"," 195.00","0.00"
"55","20-001518-co"," 195.00"," 195.00","0.00"
"56","20-001519-co"," 195.00"," 195.00","0.00"
"57","20-001520-co"," 195.00"," 195.00","0.00"
"58","20-001521-co"," 195.30"," 195.30","0.00"
"59","20-001523-co"," 205.00"," 205.00","0.00"
"60","20-001524-co"," 205.00"," 205.00","0.00"
"61","20-001525-co"," 318.46"," 318.46","0.00"
"62","20-001527-co"," 195.00"," 195.00","0.00"
"63","20-001528-co"," 208.50"," 208.50","0.00"
"64","20-001530-co"," 195.00"," 195.00","0.00"
"65","20-001531-co"," 205.00"," 205.00","0.00"
"66","20-001535-co"," 205.00"," 205.00","0.00"
"67","20-001536-co"," 320.00"," 310.00","10.00"
"68","20-001537-co"," 195.00"," 195.00","0.00"
"69","20-001538-co"," 215.00"," 215.00","0.00"
"70","20-001539-co"," 310.00"," 310.00","0.00"
"71","20-001540-co"," 205.00"," 205.00","0.00"
"72","20-001541-co"," 195.00"," 195.00","0.00"
"73","20-001542-co"," 195.00"," 195.00","0.00"
"74","20-001543-co"," 195.00"," 195.00","0.00"
"75","20-000986-ci"," 395.00"," 395.00","0.00"
"76","20-001549-co"," 320.00"," 320.00","0.00"
"77","20-001498-co"," 239.76"," 239.76","0.00"
"78","20-001461-co"," 195.00"," 195.00","0.00"
"79","20-001468-co"," 195.69"," 195.69","0.00"
"80","20-001469-co"," 316.35"," 316.35","0.00"
"81","20-001470-co"," 199.19"," 199.19","0.00"
"82","20-001472-co"," 195.00"," 195.00","0.00"
"83","20-001473-co"," 195.00"," 195.00","0.00"
"84","20-001475-co"," 195.00"," 195.00","0.00"
"85","20-001476-co"," 195.00"," 195.00","0.00"
"86","20-001478-co"," 195.00"," 195.00","0.00"
"87","20-001480-co"," 198.50"," 198.50","0.00"
"88","20-001482-co"," 310.00"," 310.00","0.00"
"89","20-001484-co"," 1.59"," 1.59","0.00"
"90","20-001485-co"," 195.00"," 195.00","0.00"
"91","20-001486-co"," 195.00"," 195.00","0.00"
"92","20-001487-co"," 205.00"," 205.00","0.00"
"93","20-001488-co"," 320.00"," 320.00","0.00"
"94","20-001489-co"," 195.00"," 195.00","0.00"
"95","20-001490-co"," 195.00"," 195.00","0.00"
"96","20-001492-co"," 195.00"," 195.00","0.00"
"97","20-001508-co"," 320.00"," 320.00","0.00"
"98","20-001494-co"," 205.00"," 205.00","0.00"
"99","20-001495-co"," 205.00"," 205.00","0.00"
