"","case_number","to_pay","paid","balance"
"1","20-003360-co"," 198.60"," 198.60","0.00"
"2","20-003361-co"," 215.58"," 215.58","0.00"
"3","20-003362-co"," 199.70"," 199.70","0.00"
"4","20-003364-co"," 195.00"," 195.00","0.00"
"5","20-003365-co"," 205.00"," 205.00","0.00"
"6","20-003372-co"," 195.00"," 195.00","0.00"
"7","20-003379-co"," 195.00"," 195.00","0.00"
"8","20-003126-ci"," 420.00"," 420.00","0.00"
"9","20-003127-ci"," 410.00"," 410.00","0.00"
"10","20-003347-co"," 195.00"," 195.00","0.00"
"11","20-003348-co"," 209.38"," 209.38","0.00"
"12","20-003349-co"," 313.50"," 313.50","0.00"
"13","20-003351-co"," 195.00"," 195.00","0.00"
"14","20-003352-co"," 195.00"," 195.00","0.00"
"15","20-003353-co"," 310.00"," 310.00","0.00"
"16","20-003339-co"," 185.00"," 185.00","0.00"
"17","20-003345-co"," 195.00"," 195.00","0.00"
"18","20-003314-co"," 199.19"," 199.19","0.00"
"19","20-003316-co"," 317.04"," 317.04","0.00"
"20","20-003320-co"," 195.00"," 195.00","0.00"
"21","20-003321-co"," 310.00"," 310.00","0.00"
"22","20-003322-co"," 195.00"," 195.00","0.00"
"23","20-003323-co"," 320.00"," 320.00","0.00"
"24","20-003074-ci"," 410.00"," 410.00","0.00"
"25","20-003325-co"," 215.18"," 215.18","0.00"
"26","20-003330-co"," 195.00"," 195.00","0.00"
"27","20-003331-co"," 195.00"," 195.00","0.00"
"28","20-003335-co"," 195.00"," 195.00","0.00"
"29","20-003302-co"," 195.69"," 195.69","0.00"
"30","20-003304-co"," 310.00"," 310.00","0.00"
"31","20-003305-co"," 195.00"," 195.00","0.00"
"32","20-003306-co"," 310.00"," 310.00","0.00"
"33","20-003055-ci"," 428.00"," 428.00","0.00"
"34","20-003313-co"," 0.15"," 0.15","0.00"
"35","20-003292-co"," 314.19"," 314.19","0.00"
"36","20-003293-co"," 310.00"," 310.00","0.00"
"37","20-003294-co"," 195.00"," 195.00","0.00"
"38","20-003295-co"," 195.00"," 195.00","0.00"
"39","20-003296-co"," 195.00"," 195.00","0.00"
"40","20-003298-co"," 310.00"," 310.00","0.00"
"41","20-003270-co"," 320.00"," 320.00","0.00"
"42","20-003272-co"," 211.75"," 211.75","0.00"
"43","20-003277-co"," 213.10"," 213.10","0.00"
"44","20-003278-co"," 195.69"," 195.69","0.00"
"45","20-003280-co"," 320.00"," 320.00","0.00"
"46","20-003253-co"," 205.00"," 205.00","0.00"
"47","20-003254-co"," 310.00"," 310.00","0.00"
"48","20-003256-co"," 310.00"," 310.00","0.00"
"49","20-003260-co"," 320.00"," 320.00","0.00"
"50","20-003262-co"," 195.00"," 195.00","0.00"
"51","20-003264-co"," 215.00"," 215.00","0.00"
"52","20-003267-co"," 215.00"," 215.00","0.00"
"53","20-003252-co"," 310.00"," 310.00","0.00"
"54","20-003354-co"," 195.00"," 195.00","0.00"
"55","20-002965-ci"," 460.00"," 460.00","0.00"
"56","20-003237-co"," 195.00"," 195.00","0.00"
"57","20-003239-co"," 214.96"," 214.96","0.00"
"58","20-003243-co"," 210.58"," 210.58","0.00"
