"","case_number","to_pay","paid","balance"
"1","19-010844-co"," 199.19"," 199.19","0.00"
"2","19-010845-co"," 195.00"," 195.00","0.00"
"3","19-010846-co"," 225.08"," 225.08","0.00"
"4","19-010849-co"," 205.00"," 205.00","0.00"
"5","19-010852-co"," 195.00"," 195.00","0.00"
"6","19-010853-co"," 195.00"," 195.00","0.00"
"7","19-010854-co"," 195.00"," 195.00","0.00"
"8","19-010855-co"," 195.00"," 195.00","0.00"
"9","19-010856-co"," 200.57"," 200.57","0.00"
"10","19-010857-co"," 205.00"," 205.00","0.00"
"11","19-010858-co"," 195.00"," 195.00","0.00"
"12","19-010859-co"," 0.75"," 0.75","0.00"
"13","19-010860-co"," 195.00"," 195.00","0.00"
"14","19-010862-co"," 195.00"," 195.00","0.00"
"15","19-010866-co"," 215.00"," 215.00","0.00"
"16","19-010867-co"," 195.00"," 195.00","0.00"
"17","19-010868-co"," 195.00"," 195.00","0.00"
"18","19-010869-co"," 215.00"," 215.00","0.00"
"19","19-010870-co"," 195.00"," 195.00","0.00"
"20","19-010871-co"," 195.00"," 195.00","0.00"
"21","19-010875-co"," 195.00"," 195.00","0.00"
"22","19-010876-co"," 196.68"," 196.68","0.00"
"23","19-010881-co"," 195.00"," 195.00","0.00"
"24","19-010882-co"," 195.00"," 195.00","0.00"
"25","20-000002-co"," 300.00"," 300.00","0.00"
"26","20-000065-co"," 215.00"," 215.00","0.00"
"27","19-010796-co"," 205.00"," 205.00","0.00"
"28","19-010797-co"," 205.00"," 205.00","0.00"
"29","19-010798-co"," 205.00"," 205.00","0.00"
"30","19-010801-co"," 328.50"," 328.50","0.00"
"31","19-010802-co"," 195.00"," 195.00","0.00"
"32","19-010803-co"," 195.00"," 195.00","0.00"
"33","19-010805-co"," 206.38"," 206.38","0.00"
"34","19-010806-co"," 225.00"," 225.00","0.00"
"35","19-010808-co"," 208.50"," 208.50","0.00"
"36","19-010811-co"," 237.48"," 237.48","0.00"
"37","19-010812-co"," 198.09"," 198.09","0.00"
"38","19-010818-co"," 205.00"," 205.00","0.00"
"39","19-010820-co"," 195.00"," 195.00","0.00"
"40","19-010821-co"," 205.00"," 205.00","0.00"
"41","19-010823-co"," 195.00"," 195.00","0.00"
"42","19-010825-co"," 198.99"," 198.99","0.00"
"43","19-010828-co"," 205.00"," 205.00","0.00"
"44","19-010831-co"," 215.45"," 215.45","0.00"
"45","19-010834-co"," 195.00"," 195.00","0.00"
"46","19-010835-co"," 195.00"," 195.00","0.00"
"47","19-010836-co"," 205.00"," 205.00","0.00"
"48","19-010837-co"," 195.00"," 195.00","0.00"
"49","19-010838-co"," 195.00"," 195.00","0.00"
"50","19-010842-co"," 195.00"," 195.00","0.00"
"51","19-010843-co"," 205.00"," 205.00","0.00"
"52","19-010749-co"," 198.50"," 198.50","0.00"
"53","19-010751-co"," 195.00"," 195.00","0.00"
"54","19-010753-co"," 215.00"," 215.00","0.00"
"55","19-010758-co"," 195.00"," 195.00","0.00"
"56","19-010759-co"," 195.00"," 195.00","0.00"
"57","19-010760-co"," 195.00"," 195.00","0.00"
"58","19-010761-co"," 205.00"," 205.00","0.00"
"59","19-010762-co"," 205.00"," 205.00","0.00"
"60","19-010765-co"," 195.00"," 195.00","0.00"
"61","19-010768-co"," 195.00"," 195.00","0.00"
"62","19-010769-co"," 195.00"," 195.00","0.00"
"63","19-010771-co"," 3.50"," 3.50","0.00"
"64","19-010772-co"," 0.30"," 0.30","0.00"
"65","19-010773-co"," 208.50"," 208.50","0.00"
"66","19-010774-co"," 284.75"," 0.75","284.00"
"67","19-010776-co"," 16.99"," 16.99","0.00"
"68","19-010777-co"," 195.00"," 195.00","0.00"
"69","19-010778-co"," 195.69"," 195.69","0.00"
"70","19-010779-co"," 195.00"," 195.00","0.00"
"71","19-010780-co"," 198.50"," 198.50","0.00"
"72","19-010783-co"," 195.00"," 195.00","0.00"
"73","19-010784-co"," 195.69"," 195.69","0.00"
"74","19-010785-co"," 205.00"," 205.00","0.00"
"75","19-010788-co"," 195.00"," 195.00","0.00"
"76","19-010789-co"," 195.00"," 195.00","0.00"
"77","19-010791-co"," 195.00"," 195.00","0.00"
"78","19-010792-co"," 195.00"," 195.00","0.00"
"79","19-010793-co"," 195.00"," 195.00","0.00"
"80","19-010718-co"," 195.00"," 195.00","0.00"
"81","19-010727-co"," 214.38"," 214.38","0.00"
"82","19-010728-co"," 195.00"," 195.00","0.00"
"83","19-010730-co"," 312.73"," 312.73","0.00"
"84","19-010734-co"," 195.00"," 195.00","0.00"
"85","19-010735-co"," 195.00"," 195.00","0.00"
"86","19-010737-co"," 195.00"," 195.00","0.00"
"87","19-010742-co"," 205.00"," 205.00","0.00"
"88","19-010745-co"," 205.00"," 205.00","0.00"
"89","19-010747-co"," 205.00"," 205.00","0.00"
"90","19-010748-co"," 195.00"," 195.00","0.00"
"91","19-010693-co"," 195.00"," 195.00","0.00"
"92","19-010694-co"," 205.00"," 205.00","0.00"
"93","19-010695-co"," 195.00"," 195.00","0.00"
"94","19-010697-co"," 195.00"," 195.00","0.00"
"95","19-010698-co"," 0.90"," 0.90","0.00"
"96","19-010701-co"," 195.00"," 195.00","0.00"
"97","19-010704-co"," 195.00"," 195.00","0.00"
"98","19-010705-co"," 195.00"," 195.00","0.00"
"99","19-010707-co"," 195.00"," 195.00","0.00"
"100","19-010708-co"," 195.00"," 195.00","0.00"
"101","19-010709-co"," 205.00"," 205.00","0.00"
"102","19-010712-co"," 205.00"," 205.00","0.00"
"103","19-010641-co"," 218.26"," 218.26","0.00"
"104","19-010655-co"," 320.00"," 320.00","0.00"
"105","19-010656-co"," 205.00"," 205.00","0.00"
"106","19-010659-co"," 195.00"," 195.00","0.00"
"107","19-010660-co"," 330.00"," 330.00","0.00"
"108","19-010661-co"," 185.00"," 185.00","0.00"
"109","19-010662-co"," 185.00"," 185.00","0.00"
"110","19-008415-ci"," 420.00"," 420.00","0.00"
"111","19-010663-co"," 195.00"," 195.00","0.00"
"112","19-010664-co"," 185.00"," 185.00","0.00"
"113","19-010665-co"," 195.00"," 195.00","0.00"
"114","19-010667-co"," 195.00"," 195.00","0.00"
"115","19-010668-co"," 0.60"," 0.60","0.00"
"116","19-010669-co"," 205.00"," 205.00","0.00"
"117","19-010670-co"," 205.00"," 205.00","0.00"
"118","19-010671-co"," 195.00"," 195.00","0.00"
"119","19-010672-co"," 205.00"," 205.00","0.00"
"120","19-010673-co"," 205.00"," 205.00","0.00"
"121","19-010674-co"," 1.20"," 1.20","0.00"
"122","19-010675-co"," 205.00"," 205.00","0.00"
"123","19-010676-co"," 205.00"," 205.00","0.00"
"124","19-010677-co"," 205.00"," 205.00","0.00"
"125","19-010678-co"," 205.00"," 205.00","0.00"
"126","19-010679-co"," 225.00"," 225.00","0.00"
"127","19-010680-co"," 195.00"," 195.00","0.00"
"128","19-010681-co"," 195.00"," 195.00","0.00"
"129","19-010682-co"," 195.00"," 195.00","0.00"
"130","19-010683-co"," 195.00"," 195.00","0.00"
"131","19-010684-co"," 195.00"," 195.00","0.00"
"132","19-010685-co"," 205.00"," 205.00","0.00"
"133","19-010686-co"," 205.00"," 205.00","0.00"
"134","19-008435-ci"," 446.60"," 446.60","0.00"
"135","19-010633-co"," 195.00"," 195.00","0.00"
"136","19-010634-co"," 207.10"," 207.10","0.00"
"137","19-010635-co"," 225.00"," 225.00","0.00"
"138","19-010637-co"," 195.00"," 195.00","0.00"
"139","19-010576-co"," 198.50"," 198.50","0.00"
"140","19-010581-co"," 205.00"," 205.00","0.00"
"141","19-010582-co"," 0.30"," 0.30","0.00"
"142","19-010583-co"," 195.00"," 195.00","0.00"
"143","19-010584-co"," 195.00"," 195.00","0.00"
