"","case_number","to_pay","paid","balance"
"1","19-006186-co"," 195.00"," 195.00","0.00"
"2","19-006188-co"," 195.00"," 195.00","0.00"
"3","19-006192-co"," 205.00"," 205.00","0.00"
"4","19-006195-co"," 195.00"," 195.00","0.00"
"5","19-006196-co"," 205.00"," 205.00","0.00"
"6","19-006200-co"," 195.00"," 195.00","0.00"
"7","19-006201-co"," 195.00"," 195.00","0.00"
"8","19-006202-co"," 215.00"," 215.00","0.00"
"9","19-006204-co"," 310.69"," 310.69","0.00"
"10","19-006205-co"," 195.00"," 195.00","0.00"
"11","19-006206-co"," 195.00"," 195.00","0.00"
"12","19-006207-co"," 195.00"," 195.00","0.00"
"13","19-006208-co"," 195.00"," 195.00","0.00"
"14","19-006217-co"," 195.00"," 195.00","0.00"
"15","19-006219-co"," 0.15"," 0.15","0.00"
"16","19-006220-co"," 207.07"," 207.07","0.00"
"17","19-006221-co"," 205.00"," 205.00","0.00"
"18","19-006222-co"," 205.00"," 205.00","0.00"
"19","19-006223-co"," 195.00"," 195.00","0.00"
"20","19-006224-co"," 215.00"," 215.00","0.00"
"21","19-006227-co"," 205.00"," 205.00","0.00"
"22","19-006228-co"," 219.25"," 219.25","0.00"
"23","19-006139-co"," 195.00"," 195.00","0.00"
"24","19-006140-co"," 205.00"," 205.00","0.00"
"25","19-006147-co"," 195.00"," 195.00","0.00"
"26","19-006148-co"," 195.00"," 195.00","0.00"
"27","19-006150-co"," 215.00"," 215.00","0.00"
"28","19-006151-co"," 195.00"," 195.00","0.00"
"29","19-006152-co"," 195.00"," 195.00","0.00"
"30","19-006157-co"," 205.00"," 205.00","0.00"
"31","19-006162-co"," 214.62"," 214.62","0.00"
"32","19-006163-co"," 0.30"," 0.30","0.00"
"33","19-006165-co"," 0.45"," 0.45","0.00"
"34","19-006166-co"," 205.00"," 205.00","0.00"
"35","19-006167-co"," 195.00"," 195.00","0.00"
"36","19-006168-co"," 195.00"," 195.00","0.00"
"37","19-006169-co"," 317.20"," 317.20","0.00"
"38","19-006170-co"," 223.63"," 223.63","0.00"
"39","19-006172-co"," 0.15"," 0.15","0.00"
"40","19-006173-co"," 212.80"," 212.80","0.00"
"41","19-006174-co"," 314.19"," 314.19","0.00"
"42","19-006175-co"," 195.00"," 195.00","0.00"
"43","19-006176-co"," 195.00"," 195.00","0.00"
"44","19-006177-co"," 1.20"," 1.20","0.00"
"45","19-006178-co"," 195.00"," 195.00","0.00"
"46","19-006179-co"," 205.00"," 205.00","0.00"
"47","19-006180-co"," 195.00"," 195.00","0.00"
"48","19-006181-co"," 195.00"," 195.00","0.00"
"49","19-006182-co"," 195.00"," 195.00","0.00"
