"","case_number","to_pay","paid","balance"
"612","19-006280-co"," 195.00"," 195.00","0.00"
"613","19-006281-co"," 205.00"," 205.00","0.00"
"614","19-006285-co"," 215.00"," 215.00","0.00"
"615","19-006286-co"," 315.60"," 315.60","0.00"
"616","19-006287-co"," 205.00"," 205.00","0.00"
"617","19-006288-co"," 195.00"," 195.00","0.00"
"618","19-006289-co"," 205.00"," 205.00","0.00"
"619","19-006290-co"," 205.00"," 205.00","0.00"
"620","19-006291-co"," 0.30"," 0.30","0.00"
"621","19-006292-co"," 205.00"," 205.00","0.00"
