"","case_number","to_pay","paid","balance"
"1","19-009948-co"," 195.00"," 195.00","0.00"
"2","19-009952-co"," 246.50"," 246.50","0.00"
"3","19-009956-co"," 4.00"," 4.00","0.00"
"4","19-009958-co"," 195.00"," 195.00","0.00"
"5","19-009959-co"," 217.07"," 217.07","0.00"
"6","19-009962-co"," 215.00"," 215.00","0.00"
"7","19-009964-co"," 0.00"," 0.00","0.00"
"8","19-009965-co"," 205.00"," 205.00","0.00"
"9","19-009968-co"," 195.00"," 195.00","0.00"
"10","19-009969-co"," 225.00"," 225.00","0.00"
"11","19-009972-co"," 205.00"," 205.00","0.00"
"12","19-009977-co"," 209.88"," 209.88","0.00"
"13","19-009978-co"," 206.38"," 206.38","0.00"
"14","19-009979-co"," 209.88"," 209.88","0.00"
"15","19-009981-co"," 340.00"," 340.00","0.00"
"16","19-009982-co"," 1.50"," 1.50","0.00"
"17","19-009988-co"," 0.30"," 0.30","0.00"
"18","19-009990-co"," 195.00"," 195.00","0.00"
"19","19-009991-co"," 205.00"," 205.00","0.00"
"20","19-009995-co"," 195.00"," 195.00","0.00"
"21","19-009996-co"," 205.00"," 205.00","0.00"
"22","19-009997-co"," 195.00"," 195.00","0.00"
"23","19-009998-co"," 195.00"," 195.00","0.00"
"24","19-010011-co"," 205.00"," 205.00","0.00"
"25","19-009944-co"," 195.00"," 195.00","0.00"
"26","19-009945-co"," 195.00"," 195.00","0.00"
"27","19-009947-co"," 225.00"," 225.00","0.00"
"28","19-009895-co"," 215.00"," 215.00","0.00"
"29","19-009896-co"," 215.00"," 215.00","0.00"
"30","19-009897-co"," 195.00"," 195.00","0.00"
"31","19-009898-co"," 185.00"," 185.00","0.00"
"32","19-009899-co"," 195.00"," 195.00","0.00"
"33","19-009901-co"," 215.00"," 215.00","0.00"
"34","19-009902-co"," 205.00"," 205.00","0.00"
"35","19-009903-co"," 195.00"," 195.00","0.00"
"36","19-009904-co"," 205.00"," 205.00","0.00"
"37","19-009905-co"," 195.00"," 195.00","0.00"
"38","19-009906-co"," 225.00"," 225.00","0.00"
"39","19-009908-co"," 205.00"," 205.00","0.00"
"40","19-009911-co"," 205.00"," 205.00","0.00"
"41","19-009912-co"," 215.00"," 215.00","0.00"
"42","19-009913-co"," 205.00"," 205.00","0.00"
"43","19-009914-co"," 205.00"," 205.00","0.00"
"44","19-009915-co"," 195.00"," 195.00","0.00"
"45","19-009916-co"," 195.00"," 195.00","0.00"
"46","19-009917-co"," 215.00"," 215.00","0.00"
"47","19-009919-co"," 195.00"," 195.00","0.00"
"48","19-009920-co"," 195.00"," 195.00","0.00"
"49","19-009921-co"," 195.00"," 195.00","0.00"
"50","19-009922-co"," 200.57"," 200.57","0.00"
"51","19-009924-co"," 195.00"," 195.00","0.00"
"52","19-009926-co"," 206.38"," 206.38","0.00"
"53","19-009927-co"," 205.00"," 205.00","0.00"
"54","19-009928-co"," 195.00"," 195.00","0.00"
"55","19-009929-co"," 195.00"," 195.00","0.00"
"56","19-009931-co"," 195.00"," 195.00","0.00"
"57","19-009932-co"," 195.00"," 195.00","0.00"
"58","19-009935-co"," 195.00"," 195.00","0.00"
"59","19-009939-co"," 195.00"," 195.00","0.00"
"60","19-009940-co"," 295.00"," 295.00","0.00"
"61","19-009941-co"," 205.00"," 205.00","0.00"
"62","19-009942-co"," 205.00"," 205.00","0.00"
"63","19-009943-co"," 195.00"," 195.00","0.00"
"64","19-009864-co"," 205.89"," 205.89","0.00"
"65","19-009865-co"," 198.50"," 198.50","0.00"
"66","19-009868-co"," 220.82"," 220.82","0.00"
"67","19-009869-co"," 265.00"," 265.00","0.00"
"68","19-009870-co"," 195.69"," 195.69","0.00"
"69","19-009872-co"," 195.00"," 195.00","0.00"
"70","19-009873-co"," 210.58"," 210.58","0.00"
"71","19-009874-co"," 195.00"," 195.00","0.00"
"72","19-009875-co"," 205.00"," 205.00","0.00"
"73","19-009876-co"," 214.00"," 214.00","0.00"
"74","19-009877-co"," 225.00"," 225.00","0.00"
