"","case_number","to_pay","paid","balance"
"1","19-002535-co"," 208.50"," 208.50","0.00"
"2","19-002536-co"," 195.00"," 195.00","0.00"
"3","19-002542-co"," 195.00"," 195.00","0.00"
"4","19-002547-co"," 195.00"," 195.00","0.00"
"5","19-002548-co"," 9.70"," 9.70","0.00"
"6","19-002549-co"," 195.00"," 195.00","0.00"
"7","19-002550-co"," 195.00"," 195.00","0.00"
"8","19-002551-co"," 195.00"," 195.00","0.00"
"9","19-002553-co"," 195.00"," 195.00","0.00"
"10","19-002555-co"," 195.00"," 195.00","0.00"
"11","19-002558-co"," 328.74"," 328.74","0.00"
"12","19-002559-co"," 205.00"," 205.00","0.00"
"13","19-002560-co"," 195.00"," 195.00","0.00"
"14","19-002561-co"," 195.00"," 195.00","0.00"
"15","19-002562-co"," 206.20"," 206.20","0.00"
"16","19-002563-co"," 195.00"," 195.00","0.00"
"17","19-002603-co"," 195.00"," 195.00","0.00"
"18","19-002498-co"," 316.44"," 316.44","0.00"
"19","19-002501-co"," 195.00"," 195.00","0.00"
"20","19-002502-co"," 195.00"," 195.00","0.00"
"21","19-002505-co"," 212.61"," 212.61","0.00"
"22","19-002508-co"," 195.00"," 195.00","0.00"
"23","19-002512-co"," 195.00"," 195.00","0.00"
"24","19-002513-co"," 195.00"," 195.00","0.00"
"25","19-002519-co"," 205.00"," 205.00","0.00"
"26","19-002522-co"," 195.00"," 195.00","0.00"
"27","19-002527-co"," 1.20"," 1.20","0.00"
"28","19-002528-co"," 195.00"," 195.00","0.00"
"29","19-002530-co"," 0.60"," 0.60","0.00"
"30","19-002532-co"," 205.00"," 205.00","0.00"
"31","19-002533-co"," 195.00"," 195.00","0.00"
"32","19-002469-co"," 195.00"," 195.00","0.00"
"33","19-002472-co"," 195.00"," 195.00","0.00"
"34","19-002473-co"," 195.00"," 195.00","0.00"
"35","19-002474-co"," 1.05"," 1.05","0.00"
"36","19-002476-co"," 195.00"," 195.00","0.00"
"37","19-002477-co"," 0.30"," 0.30","0.00"
"38","19-002478-co"," 195.00"," 195.00","0.00"
"39","19-002484-co"," 295.19"," 295.19","0.00"
"40","19-002486-co"," 205.00"," 205.00","0.00"
"41","19-002487-co"," 205.00"," 205.00","0.00"
"42","19-002488-co"," 202.07"," 202.07","0.00"
"43","19-002491-co"," 205.00"," 205.00","0.00"
"44","19-002492-co"," 195.00"," 195.00","0.00"
"45","19-002493-co"," 215.00"," 215.00","0.00"
"46","19-002496-co"," 195.00"," 195.00","0.00"
"47","19-002430-co"," 205.00"," 205.00","0.00"
"48","19-002434-co"," 382.44"," 382.44","0.00"
"49","19-002437-co"," 205.00"," 205.00","0.00"
"50","19-002438-co"," 195.30"," 195.30","0.00"
"51","19-002047-ci"," 420.00"," 420.00","0.00"
"52","19-002439-co"," 199.19"," 199.19","0.00"
"53","19-002440-co"," 205.00"," 205.00","0.00"
"54","19-002441-co"," 195.00"," 195.00","0.00"
"55","19-002443-co"," 195.00"," 195.00","0.00"
"56","19-002451-co"," 195.00"," 195.00","0.00"
"57","19-002452-co"," 205.00"," 205.00","0.00"
"58","19-002453-co"," 312.58"," 312.58","0.00"
"59","19-002454-co"," 0.30"," 0.30","0.00"
"60","19-002455-co"," 195.00"," 195.00","0.00"
"61","19-002456-co"," 205.00"," 205.00","0.00"
"62","19-002460-co"," 195.00"," 195.00","0.00"
"63","19-002461-co"," 205.00"," 205.00","0.00"
"64","19-002462-co"," 195.00"," 195.00","0.00"
"65","19-002463-co"," 195.00"," 195.00","0.00"
"66","19-002465-co"," 195.00"," 195.00","0.00"
"67","19-002466-co"," 195.00"," 195.00","0.00"
"68","19-002467-co"," 205.00"," 205.00","0.00"
"69","19-002468-co"," 195.00"," 195.00","0.00"
"70","19-002397-co"," 195.00"," 195.00","0.00"
"71","19-002406-co"," 196.38"," 196.38","0.00"
"72","19-002411-co"," 195.00"," 195.00","0.00"
"73","19-002412-co"," 195.00"," 195.00","0.00"
"74","19-002413-co"," 195.00"," 195.00","0.00"
"75","19-002415-co"," 1.00"," 1.00","0.00"
"76","19-002417-co"," 195.00"," 195.00","0.00"
"77","19-002418-co"," 195.00"," 195.00","0.00"
"78","19-002419-co"," 195.00"," 195.00","0.00"
"79","19-002420-co"," 195.00"," 195.00","0.00"
"80","19-002421-co"," 205.00"," 205.00","0.00"
"81","19-002422-co"," 205.00"," 205.00","0.00"
"82","19-002423-co"," 195.00"," 195.00","0.00"
"83","19-002425-co"," 195.00"," 195.00","0.00"
"84","19-002426-co"," 195.00"," 195.00","0.00"
"85","19-002393-co"," 195.00"," 195.00","0.00"
"86","19-002395-co"," 195.00"," 195.00","0.00"
"87","19-002396-co"," 195.00"," 195.00","0.00"
"88","19-002394-co"," 205.00"," 205.00","0.00"
"89","19-002366-co"," 195.00"," 195.00","0.00"
"90","19-002368-co"," 1.95"," 1.95","0.00"
"91","19-002369-co"," 195.00"," 195.00","0.00"
"92","19-002370-co"," 205.00"," 205.00","0.00"
"93","19-002372-co"," 205.00"," 205.00","0.00"
