"","case_number","to_pay","paid","balance"
"1","20-002352-co"," 195.00"," 195.00","0.00"
"2","20-002353-co"," 205.00"," 205.00","0.00"
"3","20-002355-co"," 0.60"," 0.60","0.00"
"4","20-002356-co"," 195.00"," 195.00","0.00"
"5","20-002357-co"," 195.00"," 195.00","0.00"
"6","20-002358-co"," 195.00"," 195.00","0.00"
"7","20-002359-co"," 195.00"," 195.00","0.00"
"8","20-002360-co"," 195.00"," 195.00","0.00"
"9","20-002361-co"," 205.00"," 205.00","0.00"
"10","20-002363-co"," 215.00"," 215.00","0.00"
"11","20-002365-co"," 195.00"," 195.00","0.00"
"12","20-002370-co"," 195.00"," 195.00","0.00"
"13","20-002347-co"," 205.00"," 205.00","0.00"
"14","20-002349-co"," 215.00"," 215.00","0.00"
"15","20-002324-co"," 195.00"," 195.00","0.00"
"16","20-002335-co"," 195.00"," 195.00","0.00"
"17","20-002337-co"," 195.00"," 195.00","0.00"
"18","20-002339-co"," 205.00"," 205.00","0.00"
"19","20-002343-co"," 195.00"," 195.00","0.00"
"20","20-002344-co"," 195.00"," 195.00","0.00"
"21","20-002345-co"," 195.00"," 195.00","0.00"
"22","20-002346-co"," 215.00"," 215.00","0.00"
"23","20-002305-co"," 317.34"," 317.34","0.00"
"24","20-002307-co"," 332.32"," 332.32","0.00"
"25","20-002310-co"," 195.00"," 195.00","0.00"
"26","20-002312-co"," 215.28"," 215.28","0.00"
"27","20-002314-co"," 205.00"," 205.00","0.00"
"28","20-002315-co"," 195.00"," 195.00","0.00"
"29","20-002318-co"," 205.00"," 205.00","0.00"
"30","20-002319-co"," 2.04"," 2.04","0.00"
"31","20-002287-co"," 195.00"," 195.00","0.00"
"32","20-002288-co"," 244.31"," 244.31","0.00"
"33","20-002289-co"," 195.00"," 195.00","0.00"
"34","20-002290-co"," 195.00"," 195.00","0.00"
"35","20-002294-co"," 195.00"," 195.00","0.00"
"36","20-002295-co"," 205.00"," 205.00","0.00"
"37","20-002296-co"," 195.00"," 195.00","0.00"
"38","20-002297-co"," 320.00"," 320.00","0.00"
"39","20-002298-co"," 195.00"," 195.00","0.00"
"40","20-002299-co"," 310.00"," 310.00","0.00"
"41","20-002256-co"," 4.19"," 4.19","0.00"
"42","20-002257-co"," 205.00"," 205.00","0.00"
"43","20-002261-co"," 195.00"," 195.00","0.00"
"44","20-002262-co"," 195.00"," 195.00","0.00"
"45","20-002263-co"," 195.00"," 195.00","0.00"
"46","20-002265-co"," 195.00"," 195.00","0.00"
"47","20-002266-co"," 195.00"," 195.00","0.00"
"48","20-002270-co"," 195.00"," 195.00","0.00"
"49","20-002271-co"," 205.00"," 205.00","0.00"
"50","20-002274-co"," 195.00"," 195.00","0.00"
"51","20-002276-co"," 215.00"," 215.00","0.00"
"52","20-002281-co"," 195.00"," 195.00","0.00"
"53","20-002282-co"," 205.00"," 205.00","0.00"
"54","20-002285-co"," 310.00"," 310.00","0.00"
"55","20-002231-co"," 205.00"," 205.00","0.00"
"56","20-002232-co"," 195.00"," 195.00","0.00"
"57","20-002233-co"," 195.00"," 195.00","0.00"
"58","20-002235-co"," 0.30"," 0.30","0.00"
"59","20-002237-co"," 320.00"," 320.00","0.00"
"60","20-002238-co"," 195.00"," 195.00","0.00"
"61","20-002239-co"," 195.00"," 195.00","0.00"
"62","20-002240-co"," 225.00"," 225.00","0.00"
"63","20-002241-co"," 205.90"," 205.90","0.00"
"64","20-002244-co"," 205.00"," 205.00","0.00"
"65","20-002245-co"," 205.00"," 205.00","0.00"
"66","20-002246-co"," 195.00"," 195.00","0.00"
"67","20-002248-co"," 205.00"," 205.00","0.00"
"68","20-002252-co"," 195.00"," 195.00","0.00"
"69","20-002203-co"," 195.00"," 195.00","0.00"
"70","20-002213-co"," 310.00"," 310.00","0.00"
"71","20-002214-co"," 215.00"," 215.00","0.00"
"72","20-002216-co"," 206.38"," 206.38","0.00"
"73","20-002217-co"," 195.00"," 195.00","0.00"
"74","20-002218-co"," 195.00"," 195.00","0.00"
"75","20-002219-co"," 195.00"," 195.00","0.00"
"76","20-002220-co"," 195.00"," 195.00","0.00"
"77","20-002221-co"," 195.00"," 195.00","0.00"
"78","20-002222-co"," 195.00"," 195.00","0.00"
"79","20-002224-co"," 205.00"," 205.00","0.00"
"80","20-002226-co"," 320.00"," 320.00","0.00"
"81","20-002152-co"," 330.00"," 330.00","0.00"
"82","20-002159-co"," 195.00"," 195.00","0.00"
"83","20-002162-co"," 195.00"," 195.00","0.00"
"84","20-002166-co"," 195.00"," 195.00","0.00"
"85","20-002168-co"," 195.69"," 195.69","0.00"
"86","20-002170-co"," 201.57"," 201.57","0.00"
"87","20-002172-co"," 205.00"," 205.00","0.00"
"88","20-002173-co"," 215.69"," 215.69","0.00"
"89","20-002174-co"," 195.00"," 195.00","0.00"
"90","20-002175-co"," 195.00"," 195.00","0.00"
"91","20-002181-co"," 205.00"," 205.00","0.00"
"92","20-002182-co"," 195.00"," 195.00","0.00"
"93","20-002183-co"," 205.00"," 205.00","0.00"
"94","20-002184-co"," 195.00"," 195.00","0.00"
"95","20-002185-co"," 195.00"," 195.00","0.00"
"96","20-002188-co"," 195.00"," 195.00","0.00"
"97","20-002191-co"," 195.00"," 195.00","0.00"
"98","20-002195-co"," 205.00"," 205.00","0.00"
"99","20-002199-co"," 0.30"," 0.30","0.00"
"100","20-002201-co"," 195.00"," 195.00","0.00"
"101","20-002131-co"," 195.00"," 195.00","0.00"
"102","20-002135-co"," 195.00"," 195.00","0.00"
"103","20-002139-co"," 205.00"," 205.00","0.00"
"104","20-002140-co"," 205.00"," 205.00","0.00"
"105","20-002141-co"," 205.00"," 205.00","0.00"
"106","20-002142-co"," 212.80"," 212.80","0.00"
"107","20-002143-co"," 195.00"," 195.00","0.00"
"108","20-002144-co"," 198.72"," 3.72","195.00"
"109","20-002145-co"," 195.00"," 195.00","0.00"
"110","20-002146-co"," 295.00"," 295.00","0.00"
"111","20-002147-co"," 195.00"," 195.00","0.00"
"112","20-002148-co"," 195.00"," 195.00","0.00"
"113","20-002150-co"," 195.00"," 195.00","0.00"
"114","20-002151-co"," 310.00"," 310.00","0.00"
"115","20-002129-co"," 195.00"," 195.00","0.00"
"116","20-002130-co"," 205.00"," 205.00","0.00"
"117","20-002086-co"," 198.50"," 198.50","0.00"
"118","20-002091-co"," 310.00"," 310.00","0.00"
"119","20-002092-co"," 206.38"," 206.38","0.00"
"120","20-002093-co"," 310.00"," 310.00","0.00"
"121","20-002095-co"," 315.48"," 315.48","0.00"
"122","20-002096-co"," 195.00"," 195.00","0.00"
"123","20-002097-co"," 195.00"," 195.00","0.00"
"124","20-002098-co"," 1.80"," 1.80","0.00"
"125","20-002099-co"," 185.00"," 185.00","0.00"
"126","20-002101-co"," 195.00"," 195.00","0.00"
"127","20-002105-co"," 205.00"," 205.00","0.00"
"128","20-002106-co"," 196.20"," 196.20","0.00"
"129","20-002107-co"," 336.20"," 336.20","0.00"
"130","20-002110-co"," 195.00"," 195.00","0.00"
"131","20-002116-co"," 205.00"," 205.00","0.00"
"132","20-002118-co"," 195.00"," 195.00","0.00"
"133","20-002119-co"," 195.00"," 195.00","0.00"
"134","20-002120-co"," 195.00"," 195.00","0.00"
"135","20-002041-co"," 317.70"," 317.70","0.00"
"136","20-002042-co"," 198.50"," 198.50","0.00"
"137","20-002043-co"," 198.27"," 198.27","0.00"
"138","20-002044-co"," 205.37"," 205.37","0.00"
"139","20-002045-co"," 195.00"," 195.00","0.00"
"140","20-002047-co"," 205.00"," 205.00","0.00"
"141","20-002048-co"," 205.00"," 205.00","0.00"
"142","20-002051-co"," 205.00"," 205.00","0.00"
"143","20-001366-ci"," 420.00"," 420.00","0.00"
"144","20-002057-co"," 195.00"," 195.00","0.00"
"145","20-002058-co"," 195.00"," 195.00","0.00"
"146","20-002059-co"," 205.00"," 205.00","0.00"
"147","20-002062-co"," 205.00"," 205.00","0.00"
"148","20-001377-ci"," 410.00"," 410.00","0.00"
"149","20-002063-co"," 195.00"," 195.00","0.00"
"150","20-002068-co"," 219.80"," 219.80","0.00"
"151","20-002069-co"," 340.00"," 340.00","0.00"
"152","20-002070-co"," 211.95"," 211.95","0.00"
"153","20-002073-co"," 195.00"," 195.00","0.00"
"154","20-002074-co"," 195.00"," 195.00","0.00"
"155","20-002078-co"," 195.00"," 195.00","0.00"
"156","20-002079-co"," 205.00"," 205.00","0.00"
"157","20-002080-co"," 205.00"," 205.00","0.00"
"158","20-002081-co"," 205.00"," 205.00","0.00"
"159","20-002082-co"," 195.00"," 195.00","0.00"
"160","20-002083-co"," 185.00"," 185.00","0.00"
"161","20-002084-co"," 215.00"," 215.00","0.00"
"162","20-002085-co"," 320.00"," 320.00","0.00"
"163","20-001993-co"," 205.00"," 205.00","0.00"
"164","20-001994-co"," 205.00"," 205.00","0.00"
"165","20-001995-co"," 195.00"," 195.00","0.00"
"166","20-001996-co"," 322.53"," 322.53","0.00"
"167","20-001997-co"," 195.00"," 195.00","0.00"
"168","20-001998-co"," 195.00"," 195.00","0.00"
"169","20-001999-co"," 231.05"," 231.05","0.00"
"170","20-002002-co"," 195.00"," 195.00","0.00"
"171","20-002009-co"," 195.00"," 195.00","0.00"
"172","20-002011-co"," 205.00"," 205.00","0.00"
"173","20-002013-co"," 198.60"," 198.60","0.00"
"174","20-002021-co"," 205.00"," 205.00","0.00"
"175","20-002022-co"," 206.87"," 206.87","0.00"
"176","20-002024-co"," 215.00"," 215.00","0.00"
"177","20-002025-co"," 195.00"," 195.00","0.00"
"178","20-002029-co"," 195.00"," 195.00","0.00"
"179","20-002030-co"," 205.00"," 205.00","0.00"
"180","20-002032-co"," 195.00"," 195.00","0.00"
"181","20-002035-co"," 0.60"," 0.60","0.00"
"182","20-002036-co"," 195.00"," 195.00","0.00"
"183","20-002037-co"," 195.00"," 195.00","0.00"
"184","20-002014-co"," 310.00"," 310.00","0.00"
