"","case_number","to_pay","paid","balance"
"1","19-005117-co"," 205.00"," 205.00","0.00"
"2","19-005121-co"," 205.00"," 205.00","0.00"
"3","19-005122-co"," 195.00"," 195.00","0.00"
"4","19-005124-co"," 205.00"," 205.00","0.00"
"5","19-005126-co"," 215.00"," 215.00","0.00"
"6","19-005127-co"," 195.00"," 195.00","0.00"
"7","19-005128-co"," 195.00"," 195.00","0.00"
"8","19-005129-co"," 195.00"," 195.00","0.00"
"9","19-005131-co"," 0.60"," 0.60","0.00"
"10","19-005132-co"," 195.00"," 195.00","0.00"
"11","19-005134-co"," 209.25"," 209.25","0.00"
"12","19-005135-co"," 195.00"," 195.00","0.00"
"13","19-005137-co"," 195.00"," 195.00","0.00"
"14","19-005140-co"," 195.00"," 195.00","0.00"
"15","19-005141-co"," 205.00"," 205.00","0.00"
"16","19-005142-co"," 195.00"," 195.00","0.00"
"17","19-005143-co"," 205.00"," 205.00","0.00"
"18","19-005146-co"," 222.00"," 222.00","0.00"
"19","19-005147-co"," 224.76"," 224.76","0.00"
"20","19-005148-co"," 195.00"," 195.00","0.00"
"21","19-005149-co"," 195.00"," 195.00","0.00"
"22","19-005150-co"," 209.19"," 209.19","0.00"
"23","19-005151-co"," 195.00"," 195.00","0.00"
"24","19-005152-co"," 205.00"," 205.00","0.00"
"25","19-005153-co"," 205.00"," 205.00","0.00"
"26","19-005155-co"," 205.00"," 205.00","0.00"
"27","19-005157-co"," 195.00"," 195.00","0.00"
"28","19-005158-co"," 195.00"," 195.00","0.00"
"29","19-005161-co"," 205.00"," 205.00","0.00"
"30","19-005162-co"," 195.00"," 195.00","0.00"
"31","19-005163-co"," 195.00"," 195.00","0.00"
"32","19-005165-co"," 310.00"," 310.00","0.00"
"33","19-005166-co"," 205.00"," 205.00","0.00"
"34","19-005167-co"," 205.00"," 205.00","0.00"
"35","19-005071-co"," 205.00"," 205.00","0.00"
"36","19-005073-co"," 219.59"," 219.59","0.00"
"37","19-005074-co"," 215.46"," 215.46","0.00"
"38","19-005075-co"," 206.19"," 206.19","0.00"
"39","19-005076-co"," 195.69"," 195.69","0.00"
"40","19-005077-co"," 205.69"," 205.69","0.00"
"41","19-005079-co"," 200.63"," 200.63","0.00"
"42","19-005080-co"," 195.00"," 195.00","0.00"
"43","19-005088-co"," 197.79"," 197.79","0.00"
"44","19-005089-co"," 195.00"," 195.00","0.00"
"45","19-005091-co"," 205.00"," 205.00","0.00"
"46","19-005092-co"," 215.00"," 215.00","0.00"
