"","case_number","to_pay","paid","balance"
"1","19-003399-co"," 205.00"," 205.00","0.00"
"2","19-003401-co"," 205.00"," 205.00","0.00"
"3","19-003402-co"," 195.00"," 195.00","0.00"
"4","19-003403-co"," 195.00"," 195.00","0.00"
"5","19-003404-co"," 195.00"," 195.00","0.00"
"6","19-003406-co"," 195.00"," 195.00","0.00"
"7","19-002956-ci"," 410.00"," 410.00","0.00"
"8","19-003407-co"," 205.00"," 205.00","0.00"
"9","19-003408-co"," 0.30"," 0.30","0.00"
"10","19-003409-co"," 195.00"," 195.00","0.00"
"11","19-003416-co"," 195.00"," 195.00","0.00"
"12","19-003417-co"," 195.00"," 195.00","0.00"
"13","19-003419-co"," 195.00"," 195.00","0.00"
"14","19-003421-co"," 195.00"," 195.00","0.00"
"15","19-002992-ci"," 420.00"," 420.00","0.00"
"16","19-003359-co"," 203.42"," 203.42","0.00"
"17","19-003363-co"," 205.00"," 205.00","0.00"
"18","19-003364-co"," 195.00"," 195.00","0.00"
"19","19-003366-co"," 195.00"," 195.00","0.00"
"20","19-003368-co"," 195.00"," 195.00","0.00"
"21","19-003369-co"," 195.00"," 195.00","0.00"
"22","19-003370-co"," 195.00"," 195.00","0.00"
"23","19-003371-co"," 216.31"," 216.31","0.00"
"24","19-003373-co"," 208.00"," 208.00","0.00"
"25","19-003376-co"," 0.00"," 0.00","0.00"
"26","19-003377-co"," 10.20"," 10.20","0.00"
"27","19-003378-co"," 215.00"," 215.00","0.00"
"28","19-003379-co"," 215.00"," 215.00","0.00"
"29","19-003380-co"," 195.69"," 195.69","0.00"
"30","19-003381-co"," 195.00"," 195.00","0.00"
"31","19-003382-co"," 195.00"," 195.00","0.00"
"32","19-003386-co"," 205.00"," 205.00","0.00"
"33","19-003387-co"," 195.00"," 195.00","0.00"
"34","19-003388-co"," 215.00"," 215.00","0.00"
"35","19-003389-co"," 205.00"," 205.00","0.00"
"36","19-003390-co"," 205.00"," 205.00","0.00"
"37","19-003391-co"," 205.00"," 205.00","0.00"
"38","19-003360-co"," 320.00"," 320.00","0.00"
"39","19-003313-co"," 195.00"," 195.00","0.00"
"40","19-003316-co"," 321.83"," 321.83","0.00"
"41","19-003317-co"," 205.00"," 205.00","0.00"
"42","19-003318-co"," 0.30"," 0.30","0.00"
"43","19-003322-co"," 195.00"," 195.00","0.00"
"44","19-003323-co"," 205.00"," 205.00","0.00"
"45","19-003325-co"," 200.85"," 200.85","0.00"
"46","19-003328-co"," 195.00"," 195.00","0.00"
"47","19-003333-co"," 206.83"," 206.83","0.00"
"48","19-003335-co"," 195.00"," 195.00","0.00"
"49","19-003336-co"," 195.00"," 195.00","0.00"
"50","19-003338-co"," 310.00"," 310.00","0.00"
"51","19-003339-co"," 195.00"," 195.00","0.00"
"52","19-003341-co"," 195.00"," 195.00","0.00"
"53","19-003343-co"," 195.00"," 195.00","0.00"
"54","19-003344-co"," 195.00"," 195.00","0.00"
"55","19-003348-co"," 195.00"," 195.00","0.00"
"56","19-003350-co"," 195.00"," 195.00","0.00"
"57","19-003352-co"," 205.00"," 205.00","0.00"
"58","19-003353-co"," 195.00"," 195.00","0.00"
"59","19-003354-co"," 205.00"," 205.00","0.00"
"60","19-003355-co"," 205.00"," 205.00","0.00"
"61","19-003319-co"," 195.00"," 195.00","0.00"
"62","19-003254-co"," 195.00"," 195.00","0.00"
"63","19-003256-co"," 0.90"," 0.90","0.00"
"64","19-003257-co"," 208.94"," 208.94","0.00"
"65","19-003258-co"," 195.00"," 195.00","0.00"
"66","19-003262-co"," 205.00"," 205.00","0.00"
"67","19-003263-co"," 198.50"," 198.50","0.00"
"68","19-003265-co"," 195.00"," 195.00","0.00"
"69","19-003266-co"," 212.00"," 212.00","0.00"
"70","19-003272-co"," 195.00"," 195.00","0.00"
"71","19-003273-co"," 215.00"," 215.00","0.00"
"72","19-003275-co"," 195.00"," 195.00","0.00"
"73","19-003276-co"," 195.00"," 195.00","0.00"
"74","19-003278-co"," 0.00"," 0.00","0.00"
"75","19-003279-co"," 195.00"," 195.00","0.00"
"76","19-003280-co"," 195.00"," 195.00","0.00"
"77","19-003281-co"," 195.00"," 195.00","0.00"
"78","19-003282-co"," 195.00"," 195.00","0.00"
"79","19-003283-co"," 195.00"," 195.00","0.00"
"80","19-003284-co"," 195.00"," 195.00","0.00"
"81","19-003285-co"," 295.00"," 295.00","0.00"
"82","19-003286-co"," 195.00"," 195.00","0.00"
"83","19-003287-co"," 195.00"," 195.00","0.00"
"84","19-003288-co"," 205.00"," 205.00","0.00"
"85","19-003289-co"," 195.00"," 195.00","0.00"
"86","19-003290-co"," 195.00"," 195.00","0.00"
"87","19-003291-co"," 195.00"," 195.00","0.00"
"88","19-003292-co"," 195.00"," 195.00","0.00"
"89","19-003294-co"," 195.00"," 195.00","0.00"
"90","19-003295-co"," 205.00"," 205.00","0.00"
"91","19-003296-co"," 195.00"," 195.00","0.00"
"92","19-003298-co"," 215.00"," 215.00","0.00"
"93","19-003301-co"," 195.00"," 195.00","0.00"
"94","19-003302-co"," 195.00"," 195.00","0.00"
"95","19-003306-co"," 205.00"," 205.00","0.00"
"96","19-003307-co"," 205.00"," 205.00","0.00"
"97","19-003308-co"," 205.00"," 205.00","0.00"
"98","19-003309-co"," 195.00"," 195.00","0.00"
"99","19-003310-co"," 195.00"," 195.00","0.00"
"100","19-003233-co"," 202.64"," 202.64","0.00"
"101","19-003235-co"," 195.00"," 195.00","0.00"
"102","19-003236-co"," 205.00"," 205.00","0.00"
"103","19-003237-co"," 195.00"," 195.00","0.00"
"104","19-003238-co"," 195.00"," 195.00","0.00"
"105","19-003240-co"," 1.80"," 1.80","0.00"
"106","19-003244-co"," 199.05"," 199.05","0.00"
"107","19-003245-co"," 205.00"," 205.00","0.00"
"108","19-003246-co"," 195.00"," 195.00","0.00"
"109","19-003247-co"," 195.00"," 195.00","0.00"
"110","19-003248-co"," 195.00"," 195.00","0.00"
"111","19-003249-co"," 195.00"," 195.00","0.00"
"112","19-003250-co"," 195.00"," 195.00","0.00"
"113","19-003251-co"," 195.00"," 195.00","0.00"
"114","19-003253-co"," 195.00"," 195.00","0.00"
"115","19-003267-co"," 205.00"," 205.00","0.00"
"116","19-003268-co"," 195.00"," 195.00","0.00"
"117","19-003269-co"," 205.00"," 205.00","0.00"
"118","19-003270-co"," 195.00"," 195.00","0.00"
"119","19-003187-co"," 205.00"," 205.00","0.00"
"120","19-003190-co"," 201.38"," 201.38","0.00"
"121","19-003191-co"," 195.00"," 195.00","0.00"
"122","19-003194-co"," 205.00"," 205.00","0.00"
"123","19-003195-co"," 0.45"," 0.45","0.00"
"124","19-003196-co"," 209.83"," 209.83","0.00"
"125","19-003197-co"," 322.28"," 322.28","0.00"
"126","19-003199-co"," 201.26"," 201.26","0.00"
"127","19-003200-co"," 205.00"," 205.00","0.00"
"128","19-003201-co"," 195.00"," 195.00","0.00"
"129","19-003203-co"," 205.00"," 205.00","0.00"
"130","19-003204-co"," 203.12"," 203.12","0.00"
"131","19-003183-co"," 195.00"," 195.00","0.00"
"132","19-003205-co"," 205.00"," 205.00","0.00"
"133","19-003206-co"," 196.38"," 196.38","0.00"
"134","19-003207-co"," 195.00"," 195.00","0.00"
"135","19-003208-co"," 195.00"," 195.00","0.00"
"136","19-003209-co"," 195.00"," 195.00","0.00"
"137","19-003210-co"," 195.00"," 195.00","0.00"
"138","19-003211-co"," 195.00"," 195.00","0.00"
"139","19-003212-co"," 195.00"," 195.00","0.00"
"140","19-003213-co"," 205.00"," 205.00","0.00"
"141","19-003214-co"," 195.00"," 195.00","0.00"
"142","19-003215-co"," 195.00"," 195.00","0.00"
"143","19-003216-co"," 195.00"," 195.00","0.00"
"144","19-003217-co"," 0.69"," 0.69","0.00"
"145","19-003219-co"," 205.00"," 205.00","0.00"
"146","19-003220-co"," 195.00"," 195.00","0.00"
"147","19-003221-co"," 195.00"," 195.00","0.00"
"148","19-003222-co"," 195.00"," 195.00","0.00"
"149","19-003226-co"," 199.88"," 199.88","0.00"
"150","19-002809-ci"," 410.00"," 410.00","0.00"
"151","19-003229-co"," 0.60"," 0.60","0.00"
"152","19-003230-co"," 195.00"," 195.00","0.00"
"153","19-003231-co"," 195.00"," 195.00","0.00"
"154","19-003232-co"," 205.00"," 205.00","0.00"
"155","19-003147-co"," 205.00"," 205.00","0.00"
"156","19-003150-co"," 195.00"," 195.00","0.00"
"157","19-003151-co"," 195.00"," 195.00","0.00"
"158","19-003153-co"," 195.00"," 195.00","0.00"
"159","19-003154-co"," 195.00"," 195.00","0.00"
"160","19-003155-co"," 195.00"," 195.00","0.00"
"161","19-003156-co"," 205.00"," 205.00","0.00"
"162","19-003157-co"," 0.99"," 0.99","0.00"
"163","19-003158-co"," 196.14"," 196.14","0.00"
"164","19-003159-co"," 195.00"," 195.00","0.00"
"165","19-003160-co"," 219.68"," 219.68","0.00"
"166","19-003161-co"," 195.00"," 195.00","0.00"
"167","19-003163-co"," 248.50"," 248.50","0.00"
"168","19-003164-co"," 195.00"," 195.00","0.00"
"169","19-003166-co"," 205.00"," 205.00","0.00"
"170","19-003167-co"," 195.00"," 195.00","0.00"
"171","19-003170-co"," 198.50"," 198.50","0.00"
"172","19-003173-co"," 195.00"," 195.00","0.00"
"173","19-003174-co"," 195.00"," 195.00","0.00"
"174","19-003175-co"," 195.00"," 195.00","0.00"
"175","19-003176-co"," 195.00"," 195.00","0.00"
"176","19-003177-co"," 320.00"," 320.00","0.00"
"177","19-003178-co"," 195.00"," 195.00","0.00"
"178","19-003179-co"," 195.00"," 195.00","0.00"
"179","19-003180-co"," 205.00"," 205.00","0.00"
"180","19-003181-co"," 0.30"," 0.30","0.00"
"181","19-003182-co"," 185.00"," 185.00","0.00"
"182","19-003184-co"," 215.00"," 215.00","0.00"
"183","19-002785-ci"," 440.00"," 440.00","0.00"
"184","19-003113-co"," 195.00"," 195.00","0.00"
"185","19-003114-co"," 195.00"," 195.00","0.00"
"186","19-003118-co"," 205.00"," 205.00","0.00"
"187","19-003122-co"," 201.32"," 201.32","0.00"
"188","19-003128-co"," 236.36"," 236.36","0.00"
"189","19-003129-co"," 195.00"," 195.00","0.00"
"190","19-003130-co"," 205.00"," 205.00","0.00"
"191","19-003131-co"," 195.00"," 195.00","0.00"
"192","19-003134-co"," 195.00"," 195.00","0.00"
"193","19-003135-co"," 195.00"," 195.00","0.00"
"194","19-003136-co"," 205.00"," 205.00","0.00"
"195","19-003137-co"," 195.00"," 195.00","0.00"
"196","19-003141-co"," 205.00"," 205.00","0.00"
